dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_False_False
saver_name_pre: wasserstein_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.9348, rec_loss 0.0524, wasserstein_loss 0.0550, quant_error 0.3522, codebook_utilization 0.9996, codebook_perplexity 2149.2092,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.9356, rec_loss 0.0522, wasserstein_loss 0.0550, quant_error 0.3524, codebook_utilization 0.9997, codebook_perplexity 2162.8675,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.9347, rec_loss 0.0521, wasserstein_loss 0.0533, quant_error 0.3522, codebook_utilization 0.9997, codebook_perplexity 2181.0019,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.9381, rec_loss 0.0517, wasserstein_loss 0.0541, quant_error 0.3533, codebook_utilization 0.9997, codebook_perplexity 2188.3036,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.9398, rec_loss 0.0510, wasserstein_loss 0.0545, quant_error 0.3536, codebook_utilization 0.9997, codebook_perplexity 2181.6786,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.9408, rec_loss 0.0507, wasserstein_loss 0.0527, quant_error 0.3542, codebook_utilization 0.9997, codebook_perplexity 2188.8425,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.9387, rec_loss 0.0501, wasserstein_loss 0.0521, quant_error 0.3531, codebook_utilization 0.9997, codebook_perplexity 2228.2297,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.9366, rec_loss 0.0497, wasserstein_loss 0.0527, quant_error 0.3519, codebook_utilization 0.9997, codebook_perplexity 2237.2617,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.9396, rec_loss 0.0499, wasserstein_loss 0.0513, quant_error 0.3530, codebook_utilization 0.9997, codebook_perplexity 2274.2471,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.9296, rec_loss 0.0493, wasserstein_loss 0.0554, quant_error 0.3484, codebook_utilization 0.9996, codebook_perplexity 2270.3969,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.9287, rec_loss 0.0491, wasserstein_loss 0.0535, quant_error 0.3480, codebook_utilization 0.9997, codebook_perplexity 2294.8408,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.9292, rec_loss 0.0487, wasserstein_loss 0.0549, quant_error 0.3481, codebook_utilization 0.9996, codebook_perplexity 2292.9332,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.9291, rec_loss 0.0485, wasserstein_loss 0.0546, quant_error 0.3480, codebook_utilization 0.9996, codebook_perplexity 2290.4838,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.9257, rec_loss 0.0479, wasserstein_loss 0.0544, quant_error 0.3465, codebook_utilization 0.9996, codebook_perplexity 2308.7687,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.9348, rec_loss 0.0480, wasserstein_loss 0.0506, quant_error 0.3505, codebook_utilization 0.9997, codebook_perplexity 2337.3368,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.9322, rec_loss 0.0475, wasserstein_loss 0.0558, quant_error 0.3488, codebook_utilization 0.9997, codebook_perplexity 2332.1087,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.9303, rec_loss 0.0477, wasserstein_loss 0.0543, quant_error 0.3479, codebook_utilization 0.9997, codebook_perplexity 2346.7892,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.9262, rec_loss 0.0474, wasserstein_loss 0.0536, quant_error 0.3462, codebook_utilization 0.9997, codebook_perplexity 2367.2153,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.9268, rec_loss 0.0475, wasserstein_loss 0.0529, quant_error 0.3465, codebook_utilization 0.9997, codebook_perplexity 2373.0898,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.9205, rec_loss 0.0472, wasserstein_loss 0.0553, quant_error 0.3435, codebook_utilization 0.9997, codebook_perplexity 2375.1955,
