dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_False
saver_name_pre: vanilla_vq_substitution_1_True_False_False_ImageNet_256_model_4096_32_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4871, rec_loss 0.0536, quant_error 0.3577, codebook_utilization 0.4560, codebook_perplexity 282.2154,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4871, rec_loss 0.0525, quant_error 0.3571, codebook_utilization 0.4513, codebook_perplexity 258.3901,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4891, rec_loss 0.0525, quant_error 0.3582, codebook_utilization 0.4506, codebook_perplexity 238.3821,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4870, rec_loss 0.0520, quant_error 0.3565, codebook_utilization 0.4437, codebook_perplexity 219.5328,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4892, rec_loss 0.0519, quant_error 0.3581, codebook_utilization 0.4421, codebook_perplexity 201.9353,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.4868, rec_loss 0.0527, quant_error 0.3566, codebook_utilization 0.4318, codebook_perplexity 182.4967,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.4880, rec_loss 0.0543, quant_error 0.3579, codebook_utilization 0.4274, codebook_perplexity 163.3232,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.4872, rec_loss 0.0553, quant_error 0.3578, codebook_utilization 0.4204, codebook_perplexity 143.3501,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.4927, rec_loss 0.0574, quant_error 0.3621, codebook_utilization 0.4232, codebook_perplexity 125.6357,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.4935, rec_loss 0.0591, quant_error 0.3633, codebook_utilization 0.4196, codebook_perplexity 107.6030,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.4966, rec_loss 0.0606, quant_error 0.3661, codebook_utilization 0.4227, codebook_perplexity 92.1752,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.4997, rec_loss 0.0617, quant_error 0.3690, codebook_utilization 0.4248, codebook_perplexity 79.5968,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.5049, rec_loss 0.0633, quant_error 0.3733, codebook_utilization 0.4298, codebook_perplexity 70.4707,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.5053, rec_loss 0.0643, quant_error 0.3743, codebook_utilization 0.4275, codebook_perplexity 61.9241,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.5068, rec_loss 0.0656, quant_error 0.3761, codebook_utilization 0.4277, codebook_perplexity 55.3527,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.5080, rec_loss 0.0670, quant_error 0.3777, codebook_utilization 0.4250, codebook_perplexity 50.4450,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.5117, rec_loss 0.0681, quant_error 0.3809, codebook_utilization 0.4291, codebook_perplexity 46.4289,
Train Epoch: [1/1] Iters:[1090/20018] vq_loss 0.5126, rec_loss 0.0696, quant_error 0.3822, codebook_utilization 0.4299, codebook_perplexity 42.5074,
Train Epoch: [1/1] Iters:[1100/20018] vq_loss 0.5159, rec_loss 0.0708, quant_error 0.3851, codebook_utilization 0.4347, codebook_perplexity 39.4415,
