dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_True
saver_name_pre: wasserstein_vq_substitution_1_False_False_True_ImageNet_256_model_16384_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.2569, rec_loss 0.0483, wasserstein_loss 0.0733, quant_error 0.2419, codebook_utilization 0.5793, codebook_perplexity 7794.3868,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.2565, rec_loss 0.0480, wasserstein_loss 0.0742, quant_error 0.2413, codebook_utilization 0.5800, codebook_perplexity 7821.5739,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.2572, rec_loss 0.0482, wasserstein_loss 0.0719, quant_error 0.2425, codebook_utilization 0.5820, codebook_perplexity 7876.4354,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.2576, rec_loss 0.0482, wasserstein_loss 0.0706, quant_error 0.2431, codebook_utilization 0.5822, codebook_perplexity 7870.0185,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.2582, rec_loss 0.0482, wasserstein_loss 0.0689, quant_error 0.2441, codebook_utilization 0.5820, codebook_perplexity 7868.8639,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.2584, rec_loss 0.0480, wasserstein_loss 0.0723, quant_error 0.2435, codebook_utilization 0.5830, codebook_perplexity 7907.5894,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.2574, rec_loss 0.0479, wasserstein_loss 0.0726, quant_error 0.2426, codebook_utilization 0.5832, codebook_perplexity 7915.0368,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.2579, rec_loss 0.0481, wasserstein_loss 0.0723, quant_error 0.2431, codebook_utilization 0.5847, codebook_perplexity 7963.9225,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.2553, rec_loss 0.0473, wasserstein_loss 0.0757, quant_error 0.2399, codebook_utilization 0.5837, codebook_perplexity 7950.4477,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.2541, rec_loss 0.0470, wasserstein_loss 0.0735, quant_error 0.2392, codebook_utilization 0.5853, codebook_perplexity 8005.7818,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.2538, rec_loss 0.0467, wasserstein_loss 0.0723, quant_error 0.2393, codebook_utilization 0.5858, codebook_perplexity 8033.5966,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.2541, rec_loss 0.0465, wasserstein_loss 0.0735, quant_error 0.2395, codebook_utilization 0.5857, codebook_perplexity 8026.2117,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.2539, rec_loss 0.0462, wasserstein_loss 0.0744, quant_error 0.2390, codebook_utilization 0.5857, codebook_perplexity 8029.1371,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.2563, rec_loss 0.0466, wasserstein_loss 0.0726, quant_error 0.2413, codebook_utilization 0.5869, codebook_perplexity 8060.5584,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.2561, rec_loss 0.0463, wasserstein_loss 0.0750, quant_error 0.2406, codebook_utilization 0.5869, codebook_perplexity 8047.6497,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.2548, rec_loss 0.0466, wasserstein_loss 0.0734, quant_error 0.2397, codebook_utilization 0.5872, codebook_perplexity 8035.9233,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.2540, rec_loss 0.0465, wasserstein_loss 0.0714, quant_error 0.2393, codebook_utilization 0.5879, codebook_perplexity 8059.3067,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.2541, rec_loss 0.0466, wasserstein_loss 0.0720, quant_error 0.2394, codebook_utilization 0.5888, codebook_perplexity 8073.3972,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.2523, rec_loss 0.0466, wasserstein_loss 0.0687, quant_error 0.2386, codebook_utilization 0.5893, codebook_perplexity 8093.0975,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.2540, rec_loss 0.0470, wasserstein_loss 0.0702, quant_error 0.2400, codebook_utilization 0.5893, codebook_perplexity 8095.3814,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.2547, rec_loss 0.0467, wasserstein_loss 0.0730, quant_error 0.2403, codebook_utilization 0.5892, codebook_perplexity 8088.5131,
