dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: True
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_True_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_True_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[340/20018] vq_loss 0.3625, rec_loss 0.0293, wasserstein_loss 0.0632, quant_error 0.2615, codebook_utilization 0.7900, codebook_perplexity 5935.0123,
Train Epoch: [1/4] Iters:[350/20018] vq_loss 0.3616, rec_loss 0.0293, wasserstein_loss 0.0599, quant_error 0.2611, codebook_utilization 0.7923, codebook_perplexity 6005.3446,
Train Epoch: [1/4] Iters:[360/20018] vq_loss 0.3616, rec_loss 0.0293, wasserstein_loss 0.0600, quant_error 0.2611, codebook_utilization 0.7941, codebook_perplexity 6068.3385,
Train Epoch: [1/4] Iters:[370/20018] vq_loss 0.3619, rec_loss 0.0287, wasserstein_loss 0.0600, quant_error 0.2613, codebook_utilization 0.7946, codebook_perplexity 6052.1805,
Train Epoch: [1/4] Iters:[380/20018] vq_loss 0.3629, rec_loss 0.0292, wasserstein_loss 0.0620, quant_error 0.2619, codebook_utilization 0.7946, codebook_perplexity 6047.8169,
Train Epoch: [1/4] Iters:[390/20018] vq_loss 0.3652, rec_loss 0.0293, wasserstein_loss 0.0586, quant_error 0.2639, codebook_utilization 0.7958, codebook_perplexity 6087.5287,
Train Epoch: [1/4] Iters:[400/20018] vq_loss 0.3662, rec_loss 0.0295, wasserstein_loss 0.0593, quant_error 0.2646, codebook_utilization 0.7950, codebook_perplexity 6047.3636,
Train Epoch: [1/4] Iters:[410/20018] vq_loss 0.3679, rec_loss 0.0294, wasserstein_loss 0.0599, quant_error 0.2658, codebook_utilization 0.7949, codebook_perplexity 6040.9187,
Train Epoch: [1/4] Iters:[420/20018] vq_loss 0.3657, rec_loss 0.0295, wasserstein_loss 0.0653, quant_error 0.2637, codebook_utilization 0.7938, codebook_perplexity 6006.6149,
Train Epoch: [1/4] Iters:[430/20018] vq_loss 0.3649, rec_loss 0.0290, wasserstein_loss 0.0673, quant_error 0.2629, codebook_utilization 0.7933, codebook_perplexity 5982.0055,
Train Epoch: [1/4] Iters:[440/20018] vq_loss 0.3644, rec_loss 0.0292, wasserstein_loss 0.0629, quant_error 0.2630, codebook_utilization 0.7947, codebook_perplexity 6027.2338,
Train Epoch: [1/4] Iters:[450/20018] vq_loss 0.3662, rec_loss 0.0292, wasserstein_loss 0.0605, quant_error 0.2646, codebook_utilization 0.7957, codebook_perplexity 6068.2467,
Train Epoch: [1/4] Iters:[460/20018] vq_loss 0.3638, rec_loss 0.0294, wasserstein_loss 0.0634, quant_error 0.2624, codebook_utilization 0.7940, codebook_perplexity 6013.7258,
Train Epoch: [1/4] Iters:[470/20018] vq_loss 0.3655, rec_loss 0.0294, wasserstein_loss 0.0578, quant_error 0.2642, codebook_utilization 0.7963, codebook_perplexity 6085.1892,
Train Epoch: [1/4] Iters:[480/20018] vq_loss 0.3658, rec_loss 0.0295, wasserstein_loss 0.0570, quant_error 0.2645, codebook_utilization 0.7975, codebook_perplexity 6134.4771,
Train Epoch: [1/4] Iters:[490/20018] vq_loss 0.3647, rec_loss 0.0291, wasserstein_loss 0.0650, quant_error 0.2630, codebook_utilization 0.7961, codebook_perplexity 6081.1841,
Train Epoch: [1/4] Iters:[500/20018] vq_loss 0.3631, rec_loss 0.0291, wasserstein_loss 0.0677, quant_error 0.2615, codebook_utilization 0.7953, codebook_perplexity 6050.2561,
Train Epoch: [1/4] Iters:[510/20018] vq_loss 0.3645, rec_loss 0.0290, wasserstein_loss 0.0669, quant_error 0.2626, codebook_utilization 0.7959, codebook_perplexity 6065.3004,
Train Epoch: [1/4] Iters:[520/20018] vq_loss 0.3638, rec_loss 0.0293, wasserstein_loss 0.0672, quant_error 0.2622, codebook_utilization 0.7944, codebook_perplexity 6013.3326,
Train Epoch: [1/4] Iters:[530/20018] vq_loss 0.3613, rec_loss 0.0293, wasserstein_loss 0.0653, quant_error 0.2604, codebook_utilization 0.7942, codebook_perplexity 5999.8329,
Train Epoch: [1/4] Iters:[540/20018] vq_loss 0.3612, rec_loss 0.0297, wasserstein_loss 0.0592, quant_error 0.2608, codebook_utilization 0.7956, codebook_perplexity 6060.2495,
Train Epoch: [1/4] Iters:[550/20018] vq_loss 0.3616, rec_loss 0.0299, wasserstein_loss 0.0581, quant_error 0.2612, codebook_utilization 0.7964, codebook_perplexity 6091.3180,
Train Epoch: [1/4] Iters:[560/20018] vq_loss 0.3607, rec_loss 0.0299, wasserstein_loss 0.0562, quant_error 0.2607, codebook_utilization 0.7972, codebook_perplexity 6104.9900,
Train Epoch: [1/4] Iters:[570/20018] vq_loss 0.3616, rec_loss 0.0299, wasserstein_loss 0.0569, quant_error 0.2614, codebook_utilization 0.7975, codebook_perplexity 6131.6044,
Train Epoch: [1/4] Iters:[580/20018] vq_loss 0.3633, rec_loss 0.0296, wasserstein_loss 0.0564, quant_error 0.2626, codebook_utilization 0.7963, codebook_perplexity 6098.9773,
Train Epoch: [1/4] Iters:[590/20018] vq_loss 0.3646, rec_loss 0.0296, wasserstein_loss 0.0553, quant_error 0.2637, codebook_utilization 0.7966, codebook_perplexity 6097.7573,
Train Epoch: [1/4] Iters:[600/20018] vq_loss 0.3646, rec_loss 0.0294, wasserstein_loss 0.0556, quant_error 0.2636, codebook_utilization 0.7972, codebook_perplexity 6133.6492,
Train Epoch: [1/4] Iters:[610/20018] vq_loss 0.3645, rec_loss 0.0295, wasserstein_loss 0.0564, quant_error 0.2635, codebook_utilization 0.7964, codebook_perplexity 6127.4065,
Train Epoch: [1/4] Iters:[620/20018] vq_loss 0.3669, rec_loss 0.0297, wasserstein_loss 0.0553, quant_error 0.2654, codebook_utilization 0.7976, codebook_perplexity 6171.7289,
Train Epoch: [1/4] Iters:[630/20018] vq_loss 0.3628, rec_loss 0.0295, wasserstein_loss 0.0621, quant_error 0.2617, codebook_utilization 0.7958, codebook_perplexity 6107.5791,
Train Epoch: [1/4] Iters:[640/20018] vq_loss 0.3619, rec_loss 0.0293, wasserstein_loss 0.0612, quant_error 0.2611, codebook_utilization 0.7964, codebook_perplexity 6134.3869,
