dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: False
epochs: 2
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_2_True_False_False
saver_name_pre: wasserstein_vq_substitution_2_True_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/2] Iters:[340/20018] vq_loss 0.9132, rec_loss 0.0481, wasserstein_loss 0.0578, quant_error 0.3392, codebook_utilization 0.8930, codebook_perplexity 8501.7179,
Train Epoch: [1/2] Iters:[350/20018] vq_loss 0.9099, rec_loss 0.0479, wasserstein_loss 0.0528, quant_error 0.3382, codebook_utilization 0.8939, codebook_perplexity 8628.7859,
Train Epoch: [1/2] Iters:[360/20018] vq_loss 0.9097, rec_loss 0.0478, wasserstein_loss 0.0546, quant_error 0.3376, codebook_utilization 0.8938, codebook_perplexity 8618.5719,
Train Epoch: [1/2] Iters:[370/20018] vq_loss 0.9099, rec_loss 0.0469, wasserstein_loss 0.0552, quant_error 0.3372, codebook_utilization 0.8937, codebook_perplexity 8574.3627,
Train Epoch: [1/2] Iters:[380/20018] vq_loss 0.9126, rec_loss 0.0474, wasserstein_loss 0.0551, quant_error 0.3382, codebook_utilization 0.8934, codebook_perplexity 8549.6206,
Train Epoch: [1/2] Iters:[390/20018] vq_loss 0.9170, rec_loss 0.0471, wasserstein_loss 0.0570, quant_error 0.3395, codebook_utilization 0.8931, codebook_perplexity 8506.0953,
Train Epoch: [1/2] Iters:[400/20018] vq_loss 0.9186, rec_loss 0.0470, wasserstein_loss 0.0612, quant_error 0.3394, codebook_utilization 0.8926, codebook_perplexity 8408.4773,
Train Epoch: [1/2] Iters:[410/20018] vq_loss 0.9230, rec_loss 0.0468, wasserstein_loss 0.0595, quant_error 0.3412, codebook_utilization 0.8927, codebook_perplexity 8440.9516,
Train Epoch: [1/2] Iters:[420/20018] vq_loss 0.9150, rec_loss 0.0463, wasserstein_loss 0.0683, quant_error 0.3369, codebook_utilization 0.8921, codebook_perplexity 8362.0310,
Train Epoch: [1/2] Iters:[430/20018] vq_loss 0.9085, rec_loss 0.0452, wasserstein_loss 0.0727, quant_error 0.3336, codebook_utilization 0.8920, codebook_perplexity 8291.7586,
Train Epoch: [1/2] Iters:[440/20018] vq_loss 0.9069, rec_loss 0.0455, wasserstein_loss 0.0643, quant_error 0.3336, codebook_utilization 0.8926, codebook_perplexity 8434.2969,
Train Epoch: [1/2] Iters:[450/20018] vq_loss 0.9094, rec_loss 0.0453, wasserstein_loss 0.0607, quant_error 0.3348, codebook_utilization 0.8930, codebook_perplexity 8491.6091,
Train Epoch: [1/2] Iters:[460/20018] vq_loss 0.9009, rec_loss 0.0452, wasserstein_loss 0.0662, quant_error 0.3304, codebook_utilization 0.8926, codebook_perplexity 8422.1264,
Train Epoch: [1/2] Iters:[470/20018] vq_loss 0.9062, rec_loss 0.0454, wasserstein_loss 0.0555, quant_error 0.3334, codebook_utilization 0.8937, codebook_perplexity 8616.3276,
Train Epoch: [1/2] Iters:[480/20018] vq_loss 0.9092, rec_loss 0.0454, wasserstein_loss 0.0547, quant_error 0.3343, codebook_utilization 0.8938, codebook_perplexity 8702.7720,
Train Epoch: [1/2] Iters:[490/20018] vq_loss 0.9062, rec_loss 0.0447, wasserstein_loss 0.0637, quant_error 0.3320, codebook_utilization 0.8932, codebook_perplexity 8606.1604,
Train Epoch: [1/2] Iters:[500/20018] vq_loss 0.9005, rec_loss 0.0444, wasserstein_loss 0.0648, quant_error 0.3293, codebook_utilization 0.8928, codebook_perplexity 8605.2352,
Train Epoch: [1/2] Iters:[510/20018] vq_loss 0.9037, rec_loss 0.0442, wasserstein_loss 0.0623, quant_error 0.3307, codebook_utilization 0.8929, codebook_perplexity 8676.4091,
Train Epoch: [1/2] Iters:[520/20018] vq_loss 0.8998, rec_loss 0.0441, wasserstein_loss 0.0655, quant_error 0.3288, codebook_utilization 0.8924, codebook_perplexity 8568.6595,
Train Epoch: [1/2] Iters:[530/20018] vq_loss 0.8941, rec_loss 0.0440, wasserstein_loss 0.0628, quant_error 0.3268, codebook_utilization 0.8925, codebook_perplexity 8619.5365,
Train Epoch: [1/2] Iters:[540/20018] vq_loss 0.8916, rec_loss 0.0443, wasserstein_loss 0.0578, quant_error 0.3260, codebook_utilization 0.8930, codebook_perplexity 8746.6235,
Train Epoch: [1/2] Iters:[550/20018] vq_loss 0.8942, rec_loss 0.0443, wasserstein_loss 0.0569, quant_error 0.3270, codebook_utilization 0.8932, codebook_perplexity 8819.9666,
