dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
L: 4
beta: 0.1
gamma_1: 0.1
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_trick: False
use_multiscale: True
fold_token: False
add_projection: False
epochs: 4
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.1_0.1_0.1
training_pre: wasserstein_vq_substitution_4_False_True_False_False
saver_name_pre: wasserstein_vq_substitution_4_False_True_False_False_ImageNet_256_model_16384_32_16_loss_0.1_0.1_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/4] Iters:[340/20018] vq_loss 0.4027, rec_loss 0.0341, wasserstein_loss 0.0754, quant_error 0.2940, codebook_utilization 0.8024, codebook_perplexity 3122.8310,
Train Epoch: [1/4] Iters:[350/20018] vq_loss 0.4007, rec_loss 0.0338, wasserstein_loss 0.0730, quant_error 0.2926, codebook_utilization 0.8042, codebook_perplexity 3174.0692,
Train Epoch: [1/4] Iters:[360/20018] vq_loss 0.3997, rec_loss 0.0337, wasserstein_loss 0.0702, quant_error 0.2919, codebook_utilization 0.8057, codebook_perplexity 3228.8854,
Train Epoch: [1/4] Iters:[370/20018] vq_loss 0.3992, rec_loss 0.0330, wasserstein_loss 0.0706, quant_error 0.2913, codebook_utilization 0.8060, codebook_perplexity 3246.6760,
Train Epoch: [1/4] Iters:[380/20018] vq_loss 0.4000, rec_loss 0.0333, wasserstein_loss 0.0716, quant_error 0.2918, codebook_utilization 0.8057, codebook_perplexity 3251.5965,
Train Epoch: [1/4] Iters:[390/20018] vq_loss 0.4014, rec_loss 0.0332, wasserstein_loss 0.0704, quant_error 0.2928, codebook_utilization 0.8059, codebook_perplexity 3269.9264,
Train Epoch: [1/4] Iters:[400/20018] vq_loss 0.4018, rec_loss 0.0332, wasserstein_loss 0.0735, quant_error 0.2927, codebook_utilization 0.8044, codebook_perplexity 3244.3629,
Train Epoch: [1/4] Iters:[410/20018] vq_loss 0.4036, rec_loss 0.0329, wasserstein_loss 0.0739, quant_error 0.2939, codebook_utilization 0.8045, codebook_perplexity 3251.8752,
Train Epoch: [1/4] Iters:[420/20018] vq_loss 0.3996, rec_loss 0.0327, wasserstein_loss 0.0814, quant_error 0.2900, codebook_utilization 0.8029, codebook_perplexity 3206.0919,
Train Epoch: [1/4] Iters:[430/20018] vq_loss 0.3964, rec_loss 0.0320, wasserstein_loss 0.0854, quant_error 0.2872, codebook_utilization 0.8023, codebook_perplexity 3187.8113,
Train Epoch: [1/4] Iters:[440/20018] vq_loss 0.3949, rec_loss 0.0320, wasserstein_loss 0.0775, quant_error 0.2866, codebook_utilization 0.8049, codebook_perplexity 3263.1625,
Train Epoch: [1/4] Iters:[450/20018] vq_loss 0.3952, rec_loss 0.0319, wasserstein_loss 0.0714, quant_error 0.2873, codebook_utilization 0.8067, codebook_perplexity 3335.1346,
Train Epoch: [1/4] Iters:[460/20018] vq_loss 0.3910, rec_loss 0.0319, wasserstein_loss 0.0776, quant_error 0.2834, codebook_utilization 0.8055, codebook_perplexity 3315.0898,
Train Epoch: [1/4] Iters:[470/20018] vq_loss 0.3928, rec_loss 0.0319, wasserstein_loss 0.0699, quant_error 0.2853, codebook_utilization 0.8078, codebook_perplexity 3402.3666,
Train Epoch: [1/4] Iters:[480/20018] vq_loss 0.3932, rec_loss 0.0318, wasserstein_loss 0.0678, quant_error 0.2857, codebook_utilization 0.8090, codebook_perplexity 3466.0261,
Train Epoch: [1/4] Iters:[490/20018] vq_loss 0.3916, rec_loss 0.0314, wasserstein_loss 0.0759, quant_error 0.2837, codebook_utilization 0.8070, codebook_perplexity 3429.1736,
Train Epoch: [1/4] Iters:[500/20018] vq_loss 0.3887, rec_loss 0.0313, wasserstein_loss 0.0786, quant_error 0.2811, codebook_utilization 0.8064, codebook_perplexity 3417.4080,
Train Epoch: [1/4] Iters:[510/20018] vq_loss 0.3896, rec_loss 0.0311, wasserstein_loss 0.0756, quant_error 0.2819, codebook_utilization 0.8071, codebook_perplexity 3465.4598,
