dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: ema_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_empty
training_pre: ema_vq_substitution_1_True
saver_name_pre: ema_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_empty
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[1250/20018] vq_loss 0.4690, rec_loss 0.0397, quant_error 0.3244, codebook_utilization 0.7227, codebook_perplexity 1441.4492,
Train Epoch: [1/1] Iters:[1260/20018] vq_loss 0.4729, rec_loss 0.0401, quant_error 0.3270, codebook_utilization 0.7207, codebook_perplexity 1444.3079,
Train Epoch: [1/1] Iters:[1270/20018] vq_loss 0.4710, rec_loss 0.0397, quant_error 0.3253, codebook_utilization 0.7182, codebook_perplexity 1440.4527,
Train Epoch: [1/1] Iters:[1280/20018] vq_loss 0.4715, rec_loss 0.0397, quant_error 0.3252, codebook_utilization 0.7184, codebook_perplexity 1440.9385,
Train Epoch: [1/1] Iters:[1290/20018] vq_loss 0.4721, rec_loss 0.0399, quant_error 0.3255, codebook_utilization 0.7197, codebook_perplexity 1439.9596,
Train Epoch: [1/1] Iters:[1300/20018] vq_loss 0.4706, rec_loss 0.0398, quant_error 0.3239, codebook_utilization 0.7205, codebook_perplexity 1438.9663,
Train Epoch: [1/1] Iters:[1310/20018] vq_loss 0.4678, rec_loss 0.0397, quant_error 0.3215, codebook_utilization 0.7216, codebook_perplexity 1439.7110,
Train Epoch: [1/1] Iters:[1320/20018] vq_loss 0.4709, rec_loss 0.0400, quant_error 0.3234, codebook_utilization 0.7230, codebook_perplexity 1450.1461,
Train Epoch: [1/1] Iters:[1330/20018] vq_loss 0.4679, rec_loss 0.0393, quant_error 0.3209, codebook_utilization 0.7228, codebook_perplexity 1443.5470,
Train Epoch: [1/1] Iters:[1340/20018] vq_loss 0.4661, rec_loss 0.0390, quant_error 0.3192, codebook_utilization 0.7231, codebook_perplexity 1443.9267,
Train Epoch: [1/1] Iters:[1350/20018] vq_loss 0.4636, rec_loss 0.0388, quant_error 0.3172, codebook_utilization 0.7234, codebook_perplexity 1441.8600,
Train Epoch: [1/1] Iters:[1360/20018] vq_loss 0.4599, rec_loss 0.0382, quant_error 0.3142, codebook_utilization 0.7224, codebook_perplexity 1438.3473,
Train Epoch: [1/1] Iters:[1370/20018] vq_loss 0.4609, rec_loss 0.0382, quant_error 0.3147, codebook_utilization 0.7240, codebook_perplexity 1440.4632,
Train Epoch: [1/1] Iters:[1380/20018] vq_loss 0.4611, rec_loss 0.0381, quant_error 0.3144, codebook_utilization 0.7241, codebook_perplexity 1448.6749,
