dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.2
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_empty
training_pre: vanilla_vq_substitution_1_True
saver_name_pre: vanilla_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_empty
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4950, rec_loss 0.0606, quant_error 0.3641, codebook_utilization 0.7048, codebook_perplexity 393.8458,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4926, rec_loss 0.0608, quant_error 0.3623, codebook_utilization 0.6965, codebook_perplexity 393.8731,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.4950, rec_loss 0.0607, quant_error 0.3643, codebook_utilization 0.6916, codebook_perplexity 401.9086,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.4940, rec_loss 0.0609, quant_error 0.3638, codebook_utilization 0.6827, codebook_perplexity 403.1530,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.4903, rec_loss 0.0607, quant_error 0.3613, codebook_utilization 0.6721, codebook_perplexity 398.0147,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.4895, rec_loss 0.0607, quant_error 0.3608, codebook_utilization 0.6633, codebook_perplexity 392.7503,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.4899, rec_loss 0.0606, quant_error 0.3611, codebook_utilization 0.6557, codebook_perplexity 386.9352,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.4880, rec_loss 0.0603, quant_error 0.3598, codebook_utilization 0.6465, codebook_perplexity 378.1530,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.4889, rec_loss 0.0601, quant_error 0.3605, codebook_utilization 0.6401, codebook_perplexity 373.5668,
Train Epoch: [1/1] Iters:[580/20018] vq_loss 0.4911, rec_loss 0.0602, quant_error 0.3622, codebook_utilization 0.6352, codebook_perplexity 370.8056,
Train Epoch: [1/1] Iters:[590/20018] vq_loss 0.4927, rec_loss 0.0602, quant_error 0.3636, codebook_utilization 0.6289, codebook_perplexity 366.2914,
Train Epoch: [1/1] Iters:[600/20018] vq_loss 0.4917, rec_loss 0.0599, quant_error 0.3630, codebook_utilization 0.6175, codebook_perplexity 361.5795,
Train Epoch: [1/1] Iters:[610/20018] vq_loss 0.4914, rec_loss 0.0600, quant_error 0.3629, codebook_utilization 0.6080, codebook_perplexity 356.0322,
Train Epoch: [1/1] Iters:[620/20018] vq_loss 0.4950, rec_loss 0.0600, quant_error 0.3656, codebook_utilization 0.6024, codebook_perplexity 352.6049,
Train Epoch: [1/1] Iters:[630/20018] vq_loss 0.4891, rec_loss 0.0592, quant_error 0.3613, codebook_utilization 0.5875, codebook_perplexity 343.2429,
Train Epoch: [1/1] Iters:[640/20018] vq_loss 0.4887, rec_loss 0.0590, quant_error 0.3611, codebook_utilization 0.5798, codebook_perplexity 339.8953,
Train Epoch: [1/1] Iters:[650/20018] vq_loss 0.4893, rec_loss 0.0587, quant_error 0.3616, codebook_utilization 0.5743, codebook_perplexity 337.3666,
Train Epoch: [1/1] Iters:[660/20018] vq_loss 0.4888, rec_loss 0.0582, quant_error 0.3615, codebook_utilization 0.5662, codebook_perplexity 334.2997,
Train Epoch: [1/1] Iters:[670/20018] vq_loss 0.4869, rec_loss 0.0578, quant_error 0.3602, codebook_utilization 0.5575, codebook_perplexity 333.5615,
Train Epoch: [1/1] Iters:[680/20018] vq_loss 0.4911, rec_loss 0.0578, quant_error 0.3634, codebook_utilization 0.5552, codebook_perplexity 337.0311,
Train Epoch: [1/1] Iters:[690/20018] vq_loss 0.4895, rec_loss 0.0574, quant_error 0.3624, codebook_utilization 0.5456, codebook_perplexity 338.6492,
Train Epoch: [1/1] Iters:[700/20018] vq_loss 0.4888, rec_loss 0.0577, quant_error 0.3619, codebook_utilization 0.5385, codebook_perplexity 340.0432,
Train Epoch: [1/1] Iters:[710/20018] vq_loss 0.4887, rec_loss 0.0577, quant_error 0.3618, codebook_utilization 0.5342, codebook_perplexity 342.6959,
Train Epoch: [1/1] Iters:[720/20018] vq_loss 0.4891, rec_loss 0.0579, quant_error 0.3622, codebook_utilization 0.5316, codebook_perplexity 344.5446,
Train Epoch: [1/1] Iters:[730/20018] vq_loss 0.4873, rec_loss 0.0579, quant_error 0.3610, codebook_utilization 0.5253, codebook_perplexity 347.0925,
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4912, rec_loss 0.0580, quant_error 0.3637, codebook_utilization 0.5272, codebook_perplexity 350.8882,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4902, rec_loss 0.0573, quant_error 0.3629, codebook_utilization 0.5232, codebook_perplexity 349.2535,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4884, rec_loss 0.0567, quant_error 0.3616, codebook_utilization 0.5142, codebook_perplexity 345.2804,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4839, rec_loss 0.0566, quant_error 0.3582, codebook_utilization 0.5035, codebook_perplexity 337.8519,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4852, rec_loss 0.0565, quant_error 0.3589, codebook_utilization 0.5011, codebook_perplexity 333.0342,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4875, rec_loss 0.0565, quant_error 0.3605, codebook_utilization 0.4985, codebook_perplexity 330.7190,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4895, rec_loss 0.0566, quant_error 0.3619, codebook_utilization 0.4960, codebook_perplexity 329.5781,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4939, rec_loss 0.0572, quant_error 0.3650, codebook_utilization 0.4990, codebook_perplexity 330.6923,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4947, rec_loss 0.0571, quant_error 0.3655, codebook_utilization 0.4956, codebook_perplexity 332.1526,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4943, rec_loss 0.0570, quant_error 0.3654, codebook_utilization 0.4902, codebook_perplexity 332.5644,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4904, rec_loss 0.0567, quant_error 0.3625, codebook_utilization 0.4814, codebook_perplexity 329.5283,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4875, rec_loss 0.0567, quant_error 0.3604, codebook_utilization 0.4758, codebook_perplexity 326.8771,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.4851, rec_loss 0.0565, quant_error 0.3586, codebook_utilization 0.4684, codebook_perplexity 325.2523,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.4855, rec_loss 0.0565, quant_error 0.3588, codebook_utilization 0.4671, codebook_perplexity 323.7584,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.4850, rec_loss 0.0567, quant_error 0.3583, codebook_utilization 0.4638, codebook_perplexity 321.8031,
Train Epoch: [1/1] Iters:[890/20018] vq_loss 0.4824, rec_loss 0.0562, quant_error 0.3563, codebook_utilization 0.4585, codebook_perplexity 318.6160,
Train Epoch: [1/1] Iters:[900/20018] vq_loss 0.4855, rec_loss 0.0563, quant_error 0.3584, codebook_utilization 0.4582, codebook_perplexity 318.6853,
Train Epoch: [1/1] Iters:[910/20018] vq_loss 0.4861, rec_loss 0.0565, quant_error 0.3587, codebook_utilization 0.4571, codebook_perplexity 316.4658,
Train Epoch: [1/1] Iters:[920/20018] vq_loss 0.4884, rec_loss 0.0563, quant_error 0.3602, codebook_utilization 0.4590, codebook_perplexity 315.1731,
Train Epoch: [1/1] Iters:[930/20018] vq_loss 0.4882, rec_loss 0.0558, quant_error 0.3597, codebook_utilization 0.4579, codebook_perplexity 309.1503,
Train Epoch: [1/1] Iters:[940/20018] vq_loss 0.4898, rec_loss 0.0560, quant_error 0.3607, codebook_utilization 0.4582, codebook_perplexity 297.6625,
Train Epoch: [1/1] Iters:[950/20018] vq_loss 0.4870, rec_loss 0.0550, quant_error 0.3583, codebook_utilization 0.4527, codebook_perplexity 280.2197,
Train Epoch: [1/1] Iters:[960/20018] vq_loss 0.4882, rec_loss 0.0538, quant_error 0.3587, codebook_utilization 0.4511, codebook_perplexity 262.5707,
Train Epoch: [1/1] Iters:[970/20018] vq_loss 0.4847, rec_loss 0.0532, quant_error 0.3558, codebook_utilization 0.4400, codebook_perplexity 240.0449,
Train Epoch: [1/1] Iters:[980/20018] vq_loss 0.4847, rec_loss 0.0534, quant_error 0.3557, codebook_utilization 0.4339, codebook_perplexity 218.9169,
Train Epoch: [1/1] Iters:[990/20018] vq_loss 0.4826, rec_loss 0.0530, quant_error 0.3541, codebook_utilization 0.4258, codebook_perplexity 200.5482,
Train Epoch: [1/1] Iters:[1000/20018] vq_loss 0.4870, rec_loss 0.0542, quant_error 0.3573, codebook_utilization 0.4259, codebook_perplexity 184.9959,
Train Epoch: [1/1] Iters:[1010/20018] vq_loss 0.4868, rec_loss 0.0551, quant_error 0.3574, codebook_utilization 0.4212, codebook_perplexity 166.0492,
Train Epoch: [1/1] Iters:[1020/20018] vq_loss 0.4892, rec_loss 0.0559, quant_error 0.3594, codebook_utilization 0.4218, codebook_perplexity 147.4873,
Train Epoch: [1/1] Iters:[1030/20018] vq_loss 0.4920, rec_loss 0.0567, quant_error 0.3616, codebook_utilization 0.4213, codebook_perplexity 129.5020,
Train Epoch: [1/1] Iters:[1040/20018] vq_loss 0.4971, rec_loss 0.0584, quant_error 0.3657, codebook_utilization 0.4240, codebook_perplexity 113.7696,
Train Epoch: [1/1] Iters:[1050/20018] vq_loss 0.4975, rec_loss 0.0593, quant_error 0.3666, codebook_utilization 0.4213, codebook_perplexity 97.7125,
Train Epoch: [1/1] Iters:[1060/20018] vq_loss 0.4993, rec_loss 0.0606, quant_error 0.3686, codebook_utilization 0.4203, codebook_perplexity 84.7984,
Train Epoch: [1/1] Iters:[1070/20018] vq_loss 0.5006, rec_loss 0.0620, quant_error 0.3702, codebook_utilization 0.4184, codebook_perplexity 74.7621,
Train Epoch: [1/1] Iters:[1080/20018] vq_loss 0.5046, rec_loss 0.0635, quant_error 0.3736, codebook_utilization 0.4221, codebook_perplexity 66.9308,
Train Epoch: [1/1] Iters:[1090/20018] vq_loss 0.5058, rec_loss 0.0651, quant_error 0.3751, codebook_utilization 0.4235, codebook_perplexity 59.6575,
Train Epoch: [1/1] Iters:[1100/20018] vq_loss 0.5094, rec_loss 0.0665, quant_error 0.3781, codebook_utilization 0.4272, codebook_perplexity 54.0346,
Train Epoch: [1/1] Iters:[1110/20018] vq_loss 0.5095, rec_loss 0.0677, quant_error 0.3788, codebook_utilization 0.4263, codebook_perplexity 48.9375,
Train Epoch: [1/1] Iters:[1120/20018] vq_loss 0.5142, rec_loss 0.0696, quant_error 0.3828, codebook_utilization 0.4309, codebook_perplexity 45.2851,
Train Epoch: [1/1] Iters:[1130/20018] vq_loss 0.5121, rec_loss 0.0707, quant_error 0.3821, codebook_utilization 0.4263, codebook_perplexity 41.2384,
Train Epoch: [1/1] Iters:[1140/20018] vq_loss 0.5160, rec_loss 0.0713, quant_error 0.3854, codebook_utilization 0.4284, codebook_perplexity 38.6796,
Train Epoch: [1/1] Iters:[1150/20018] vq_loss 0.5199, rec_loss 0.0725, quant_error 0.3888, codebook_utilization 0.4320, codebook_perplexity 36.3279,
Train Epoch: [1/1] Iters:[1160/20018] vq_loss 0.5247, rec_loss 0.0748, quant_error 0.3927, codebook_utilization 0.4377, codebook_perplexity 34.4123,
Train Epoch: [1/1] Iters:[1170/20018] vq_loss 0.5251, rec_loss 0.0753, quant_error 0.3937, codebook_utilization 0.4374, codebook_perplexity 32.3676,
Train Epoch: [1/1] Iters:[1180/20018] vq_loss 0.5291, rec_loss 0.0761, quant_error 0.3970, codebook_utilization 0.4431, codebook_perplexity 30.8132,
Train Epoch: [1/1] Iters:[1190/20018] vq_loss 0.5278, rec_loss 0.0773, quant_error 0.3967, codebook_utilization 0.4420, codebook_perplexity 29.0289,
Train Epoch: [1/1] Iters:[1200/20018] vq_loss 0.5269, rec_loss 0.0786, quant_error 0.3967, codebook_utilization 0.4411, codebook_perplexity 27.4242,
Train Epoch: [1/1] Iters:[1210/20018] vq_loss 0.5267, rec_loss 0.0783, quant_error 0.3970, codebook_utilization 0.4414, codebook_perplexity 26.1923,
Train Epoch: [1/1] Iters:[1220/20018] vq_loss 0.5280, rec_loss 0.0795, quant_error 0.3983, codebook_utilization 0.4455, codebook_perplexity 25.0872,
Train Epoch: [1/1] Iters:[1230/20018] vq_loss 0.5290, rec_loss 0.0802, quant_error 0.3995, codebook_utilization 0.4469, codebook_perplexity 24.1555,
Train Epoch: [1/1] Iters:[1240/20018] vq_loss 0.5315, rec_loss 0.0808, quant_error 0.4015, codebook_utilization 0.4513, codebook_perplexity 23.4903,
Train Epoch: [1/1] Iters:[1250/20018] vq_loss 0.5312, rec_loss 0.0811, quant_error 0.4015, codebook_utilization 0.4521, codebook_perplexity 22.6959,
Train Epoch: [1/1] Iters:[1260/20018] vq_loss 0.5355, rec_loss 0.0822, quant_error 0.4047, codebook_utilization 0.4578, codebook_perplexity 22.3622,
Train Epoch: [1/1] Iters:[1270/20018] vq_loss 0.5350, rec_loss 0.0823, quant_error 0.4048, codebook_utilization 0.4558, codebook_perplexity 21.8325,
Train Epoch: [1/1] Iters:[1280/20018] vq_loss 0.5361, rec_loss 0.0831, quant_error 0.4057, codebook_utilization 0.4584, codebook_perplexity 21.5037,
Train Epoch: [1/1] Iters:[1290/20018] vq_loss 0.5364, rec_loss 0.0833, quant_error 0.4062, codebook_utilization 0.4599, codebook_perplexity 21.0722,
