dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.5
gamma_2: 0.1
lambd: 0.2
VQ: vanilla_vq
resume: False
use_multiscale: True
fold_token: False
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.5_0.1
training_pre: vanilla_vq_substitution_1_True_False_True
saver_name_pre: vanilla_vq_substitution_1_True_False_True_ImageNet_256_model_4096_16_16_loss_0.5_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.001000
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.5066, rec_loss 0.0336, quant_error 0.2700, codebook_utilization 0.5665, codebook_perplexity 332.1454,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.5061, rec_loss 0.0339, quant_error 0.2692, codebook_utilization 0.5604, codebook_perplexity 324.2797,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.5080, rec_loss 0.0339, quant_error 0.2700, codebook_utilization 0.5556, codebook_perplexity 319.5330,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.5038, rec_loss 0.0342, quant_error 0.2672, codebook_utilization 0.5470, codebook_perplexity 313.0195,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.5071, rec_loss 0.0344, quant_error 0.2687, codebook_utilization 0.5418, codebook_perplexity 312.1542,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.5081, rec_loss 0.0344, quant_error 0.2688, codebook_utilization 0.5362, codebook_perplexity 308.8725,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.5060, rec_loss 0.0342, quant_error 0.2677, codebook_utilization 0.5283, codebook_perplexity 302.7893,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.5040, rec_loss 0.0343, quant_error 0.2666, codebook_utilization 0.5207, codebook_perplexity 295.8542,
Train Epoch: [1/1] Iters:[510/20018] vq_loss 0.5061, rec_loss 0.0343, quant_error 0.2678, codebook_utilization 0.5161, codebook_perplexity 290.9072,
Train Epoch: [1/1] Iters:[520/20018] vq_loss 0.5040, rec_loss 0.0347, quant_error 0.2671, codebook_utilization 0.5093, codebook_perplexity 281.7769,
Train Epoch: [1/1] Iters:[530/20018] vq_loss 0.5007, rec_loss 0.0349, quant_error 0.2658, codebook_utilization 0.5007, codebook_perplexity 274.1234,
Train Epoch: [1/1] Iters:[540/20018] vq_loss 0.5004, rec_loss 0.0353, quant_error 0.2657, codebook_utilization 0.4941, codebook_perplexity 270.3551,
Train Epoch: [1/1] Iters:[550/20018] vq_loss 0.5011, rec_loss 0.0355, quant_error 0.2663, codebook_utilization 0.4886, codebook_perplexity 266.7995,
Train Epoch: [1/1] Iters:[560/20018] vq_loss 0.5004, rec_loss 0.0356, quant_error 0.2664, codebook_utilization 0.4816, codebook_perplexity 262.6807,
Train Epoch: [1/1] Iters:[570/20018] vq_loss 0.5021, rec_loss 0.0356, quant_error 0.2675, codebook_utilization 0.4761, codebook_perplexity 260.4230,
