dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 16
z_channels: 256
factor: 16
sigma: 0.8
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: True
use_pq: True
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_16_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_True_1000
saver_name_pre: wasserstein_vq_substitution_1_True_1000_ImageNet_256_model_4096_16_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.4628, rec_loss 0.0329, wasserstein_loss 0.0430, quant_error 0.2861, codebook_utilization 0.9983, codebook_perplexity 465.5158,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.4603, rec_loss 0.0328, wasserstein_loss 0.0468, quant_error 0.2831, codebook_utilization 0.9982, codebook_perplexity 454.9434,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.4575, rec_loss 0.0321, wasserstein_loss 0.0495, quant_error 0.2804, codebook_utilization 0.9982, codebook_perplexity 445.9187,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.4555, rec_loss 0.0320, wasserstein_loss 0.0461, quant_error 0.2793, codebook_utilization 0.9983, codebook_perplexity 450.3457,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.4567, rec_loss 0.0319, wasserstein_loss 0.0459, quant_error 0.2800, codebook_utilization 0.9983, codebook_perplexity 451.0473,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.4554, rec_loss 0.0320, wasserstein_loss 0.0484, quant_error 0.2778, codebook_utilization 0.9983, codebook_perplexity 441.1803,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.4566, rec_loss 0.0319, wasserstein_loss 0.0449, quant_error 0.2788, codebook_utilization 0.9984, codebook_perplexity 446.1316,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.4586, rec_loss 0.0319, wasserstein_loss 0.0436, quant_error 0.2796, codebook_utilization 0.9983, codebook_perplexity 450.3043,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.4587, rec_loss 0.0315, wasserstein_loss 0.0490, quant_error 0.2782, codebook_utilization 0.9983, codebook_perplexity 442.2115,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.4574, rec_loss 0.0314, wasserstein_loss 0.0509, quant_error 0.2764, codebook_utilization 0.9984, codebook_perplexity 436.0562,
