dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 4096
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.02
lambd: 0.2
VQ: adversarial_vq
resume: False
use_multiscale: True
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.0001
dropout: 0.0
seed: 3407
iterations: 1000
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
data_pre: ImageNet_256
model_pre: model_4096_32_16
loss_pre: loss_0.02
training_pre: adversarial_vq_substitution_1_True
saver_name_pre: adversarial_vq_substitution_1_True_ImageNet_256_model_4096_32_16_loss_0.02
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/1] Iters:[320/20018] vq_loss 0.5211, rec_loss 0.0738, codebook_g_loss 0.3066, quant_error 0.3913, codebook_utilization 0.7613, codebook_perplexity 127.3834, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[330/20018] vq_loss 0.5274, rec_loss 0.0763, codebook_g_loss 0.2376, quant_error 0.3982, codebook_utilization 0.7536, codebook_perplexity 106.7950, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[340/20018] vq_loss 0.5264, rec_loss 0.0782, codebook_g_loss 0.1793, quant_error 0.3993, codebook_utilization 0.7469, codebook_perplexity 87.2217, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[350/20018] vq_loss 0.5283, rec_loss 0.0803, codebook_g_loss 0.1443, quant_error 0.4022, codebook_utilization 0.7466, codebook_perplexity 73.1357, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[360/20018] vq_loss 0.5317, rec_loss 0.0829, codebook_g_loss 0.1294, quant_error 0.4058, codebook_utilization 0.7486, codebook_perplexity 62.4081, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[370/20018] vq_loss 0.5341, rec_loss 0.0843, codebook_g_loss 0.1219, quant_error 0.4086, codebook_utilization 0.7503, codebook_perplexity 53.7389, codebook_d_loss 0.0199,
Train Epoch: [1/1] Iters:[380/20018] vq_loss 0.5380, rec_loss 0.0862, codebook_g_loss 0.1121, quant_error 0.4124, codebook_utilization 0.7493, codebook_perplexity 47.1178, codebook_d_loss 0.0198,
Train Epoch: [1/1] Iters:[390/20018] vq_loss 0.5429, rec_loss 0.0880, codebook_g_loss 0.1016, quant_error 0.4171, codebook_utilization 0.7406, codebook_perplexity 43.2930, codebook_d_loss 0.0197,
Train Epoch: [1/1] Iters:[400/20018] vq_loss 0.5462, rec_loss 0.0903, codebook_g_loss 0.1001, quant_error 0.4204, codebook_utilization 0.7222, codebook_perplexity 40.2672, codebook_d_loss 0.0197,
Train Epoch: [1/1] Iters:[410/20018] vq_loss 0.5507, rec_loss 0.0911, codebook_g_loss 0.1176, quant_error 0.4243, codebook_utilization 0.6956, codebook_perplexity 38.5113, codebook_d_loss 0.0198,
Train Epoch: [1/1] Iters:[420/20018] vq_loss 0.5499, rec_loss 0.0923, codebook_g_loss 0.1625, quant_error 0.4236, codebook_utilization 0.6561, codebook_perplexity 37.2225, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[430/20018] vq_loss 0.5502, rec_loss 0.0930, codebook_g_loss 0.2388, quant_error 0.4232, codebook_utilization 0.6165, codebook_perplexity 36.4207, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[440/20018] vq_loss 0.5518, rec_loss 0.0944, codebook_g_loss 0.3365, quant_error 0.4233, codebook_utilization 0.5780, codebook_perplexity 36.0422, codebook_d_loss 0.0203,
Train Epoch: [1/1] Iters:[450/20018] vq_loss 0.5561, rec_loss 0.0945, codebook_g_loss 0.4306, quant_error 0.4257, codebook_utilization 0.5461, codebook_perplexity 35.5536, codebook_d_loss 0.0204,
Train Epoch: [1/1] Iters:[460/20018] vq_loss 0.5548, rec_loss 0.0967, codebook_g_loss 0.4942, quant_error 0.4242, codebook_utilization 0.5165, codebook_perplexity 33.9961, codebook_d_loss 0.0203,
Train Epoch: [1/1] Iters:[470/20018] vq_loss 0.5601, rec_loss 0.0978, codebook_g_loss 0.5247, quant_error 0.4283, codebook_utilization 0.5008, codebook_perplexity 32.6982, codebook_d_loss 0.0202,
Train Epoch: [1/1] Iters:[480/20018] vq_loss 0.5635, rec_loss 0.0992, codebook_g_loss 0.5165, quant_error 0.4318, codebook_utilization 0.4906, codebook_perplexity 30.5924, codebook_d_loss 0.0201,
Train Epoch: [1/1] Iters:[490/20018] vq_loss 0.5632, rec_loss 0.1008, codebook_g_loss 0.4609, quant_error 0.4333, codebook_utilization 0.4887, codebook_perplexity 27.8928, codebook_d_loss 0.0200,
Train Epoch: [1/1] Iters:[500/20018] vq_loss 0.5616, rec_loss 0.1037, codebook_g_loss 0.3560, quant_error 0.4345, codebook_utilization 0.4922, codebook_perplexity 25.1125, codebook_d_loss 0.0201,
