dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
fold_patch_size: 1_1_2_3_3_4_5_6_8_11
max_patch_size: 16
codebook_size: 16384
codebook_dim: 32
z_channels: 256
factor: 16
sigma: 0.5
gamma_1: 0.2
gamma_2: 0.1
lambd: 0.2
VQ: wasserstein_vq
resume: False
use_multiscale: False
fold_token: False
use_pq: False
epochs: 1
eval_epochs: 1
lr: 0.001
dropout: 0.0
seed: 3407
warmup_iters: 2000
decay_iters: 10000
stage: substitution
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant/VAR/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant/VAR/checkpoint/Substitution/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant/VAR/results/Substitution/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant/VAR/saver/Substitution/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant/VAR/reconstruction/Substitution/ImageNet
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
fold_token_size: (1, 1, 2, 3, 3, 4, 5, 6, 8, 11)
data_pre: ImageNet_256
model_pre: model_16384_32_16
loss_pre: loss_0.2_0.1
training_pre: wasserstein_vq_substitution_1_False_False_False
saver_name_pre: wasserstein_vq_substitution_1_False_False_False_ImageNet_256_model_16384_32_16_loss_0.2_0.1
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
Train Epoch: [1/1] Iters:[740/20018] vq_loss 0.4038, rec_loss 0.0765, wasserstein_loss 0.0935, quant_error 0.3851, codebook_utilization 0.5572, codebook_perplexity 7261.3789,
Train Epoch: [1/1] Iters:[750/20018] vq_loss 0.4049, rec_loss 0.0757, wasserstein_loss 0.0963, quant_error 0.3856, codebook_utilization 0.5571, codebook_perplexity 7258.9982,
Train Epoch: [1/1] Iters:[760/20018] vq_loss 0.4043, rec_loss 0.0748, wasserstein_loss 0.0983, quant_error 0.3846, codebook_utilization 0.5576, codebook_perplexity 7286.1251,
Train Epoch: [1/1] Iters:[770/20018] vq_loss 0.4015, rec_loss 0.0747, wasserstein_loss 0.1004, quant_error 0.3814, codebook_utilization 0.5561, codebook_perplexity 7235.5803,
Train Epoch: [1/1] Iters:[780/20018] vq_loss 0.4020, rec_loss 0.0749, wasserstein_loss 0.1013, quant_error 0.3818, codebook_utilization 0.5553, codebook_perplexity 7230.5301,
Train Epoch: [1/1] Iters:[790/20018] vq_loss 0.4039, rec_loss 0.0748, wasserstein_loss 0.0989, quant_error 0.3842, codebook_utilization 0.5551, codebook_perplexity 7250.0099,
Train Epoch: [1/1] Iters:[800/20018] vq_loss 0.4047, rec_loss 0.0751, wasserstein_loss 0.0998, quant_error 0.3848, codebook_utilization 0.5554, codebook_perplexity 7259.6236,
Train Epoch: [1/1] Iters:[810/20018] vq_loss 0.4080, rec_loss 0.0760, wasserstein_loss 0.1036, quant_error 0.3873, codebook_utilization 0.5547, codebook_perplexity 7237.4127,
Train Epoch: [1/1] Iters:[820/20018] vq_loss 0.4077, rec_loss 0.0760, wasserstein_loss 0.1012, quant_error 0.3875, codebook_utilization 0.5554, codebook_perplexity 7263.9168,
Train Epoch: [1/1] Iters:[830/20018] vq_loss 0.4075, rec_loss 0.0756, wasserstein_loss 0.1029, quant_error 0.3869, codebook_utilization 0.5557, codebook_perplexity 7257.0215,
Train Epoch: [1/1] Iters:[840/20018] vq_loss 0.4041, rec_loss 0.0755, wasserstein_loss 0.1014, quant_error 0.3838, codebook_utilization 0.5556, codebook_perplexity 7278.3688,
Train Epoch: [1/1] Iters:[850/20018] vq_loss 0.4018, rec_loss 0.0751, wasserstein_loss 0.0999, quant_error 0.3818, codebook_utilization 0.5540, codebook_perplexity 7230.2429,
Train Epoch: [1/1] Iters:[860/20018] vq_loss 0.3996, rec_loss 0.0748, wasserstein_loss 0.0967, quant_error 0.3803, codebook_utilization 0.5528, codebook_perplexity 7201.4415,
Train Epoch: [1/1] Iters:[870/20018] vq_loss 0.3999, rec_loss 0.0746, wasserstein_loss 0.0973, quant_error 0.3804, codebook_utilization 0.5518, codebook_perplexity 7178.0072,
Train Epoch: [1/1] Iters:[880/20018] vq_loss 0.3996, rec_loss 0.0752, wasserstein_loss 0.0965, quant_error 0.3803, codebook_utilization 0.5513, codebook_perplexity 7195.4714,
