Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.2934, rec_loss 0.0311, lpips_loss 0.2623, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 2.9240, codebook_loss 0.6265, utilization 0.2021, perplexity 11903.3785, d_loss 0.0000, logits_real 0.0317, logits_fake 0.0316,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.2943, rec_loss 0.0310, lpips_loss 0.2633, g_loss -0.0310, disc_weight 0.0000, disc_adaptive_weight 3.0028, codebook_loss 0.6250, utilization 0.2019, perplexity 11905.5574, d_loss 0.0000, logits_real 0.0314, logits_fake 0.0305,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.2929, rec_loss 0.0310, lpips_loss 0.2619, g_loss -0.0305, disc_weight 0.0000, disc_adaptive_weight 3.1100, codebook_loss 0.6233, utilization 0.2013, perplexity 11846.9623, d_loss 0.0000, logits_real 0.0305, logits_fake 0.0298,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.2915, rec_loss 0.0309, lpips_loss 0.2606, g_loss -0.0314, disc_weight 0.0000, disc_adaptive_weight 3.1046, codebook_loss 0.6229, utilization 0.2010, perplexity 11814.2309, d_loss 0.0000, logits_real 0.0307, logits_fake 0.0308,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.2880, rec_loss 0.0300, lpips_loss 0.2580, g_loss -0.0298, disc_weight 0.0000, disc_adaptive_weight 2.9501, codebook_loss 0.6195, utilization 0.2008, perplexity 11761.7453, d_loss 0.0000, logits_real 0.0303, logits_fake 0.0304,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.2886, rec_loss 0.0306, lpips_loss 0.2580, g_loss -0.0325, disc_weight 0.0000, disc_adaptive_weight 2.7438, codebook_loss 0.6203, utilization 0.2007, perplexity 11752.2380, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0325,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.2890, rec_loss 0.0305, lpips_loss 0.2584, g_loss -0.0304, disc_weight 0.0000, disc_adaptive_weight 2.6176, codebook_loss 0.6186, utilization 0.2009, perplexity 11764.7810, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0308,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.2916, rec_loss 0.0314, lpips_loss 0.2603, g_loss -0.0300, disc_weight 0.0000, disc_adaptive_weight 2.4887, codebook_loss 0.6190, utilization 0.2015, perplexity 11826.0072, d_loss 0.0000, logits_real 0.0316, logits_fake 0.0299,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.2936, rec_loss 0.0318, lpips_loss 0.2618, g_loss -0.0280, disc_weight 0.0000, disc_adaptive_weight 2.5207, codebook_loss 0.6198, utilization 0.2020, perplexity 11891.1689, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0286,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.2929, rec_loss 0.0317, lpips_loss 0.2612, g_loss -0.0285, disc_weight 0.0000, disc_adaptive_weight 2.7225, codebook_loss 0.6182, utilization 0.2017, perplexity 11872.2854, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0294,
