Train Epoch: [1/5] Iters:[310/40036] gen_loss 0.5700, rec_loss 0.0715, lpips_loss 0.4985, g_loss 0.2031, disc_weight 0.0000, disc_adaptive_weight 5.2234, codebook_loss 0.6468, utilization 0.0019, perplexity 20.0646, d_loss 0.0000, logits_real -0.2055, logits_fake -0.2056,
Train Epoch: [1/5] Iters:[320/40036] gen_loss 0.5708, rec_loss 0.0724, lpips_loss 0.4985, g_loss 0.2034, disc_weight 0.0000, disc_adaptive_weight 4.9987, codebook_loss 0.6461, utilization 0.0019, perplexity 19.8807, d_loss 0.0000, logits_real -0.2067, logits_fake -0.2055,
Train Epoch: [1/5] Iters:[330/40036] gen_loss 0.5695, rec_loss 0.0718, lpips_loss 0.4978, g_loss 0.2087, disc_weight 0.0000, disc_adaptive_weight 5.0528, codebook_loss 0.6506, utilization 0.0018, perplexity 19.8431, d_loss 0.0000, logits_real -0.2075, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[340/40036] gen_loss 0.5678, rec_loss 0.0713, lpips_loss 0.4965, g_loss 0.2147, disc_weight 0.0000, disc_adaptive_weight 5.0310, codebook_loss 0.6499, utilization 0.0019, perplexity 19.8133, d_loss 0.0000, logits_real -0.2093, logits_fake -0.2154,
Train Epoch: [1/5] Iters:[350/40036] gen_loss 0.5647, rec_loss 0.0712, lpips_loss 0.4935, g_loss 0.2160, disc_weight 0.0000, disc_adaptive_weight 4.7497, codebook_loss 0.6573, utilization 0.0019, perplexity 19.9795, d_loss 0.0000, logits_real -0.2126, logits_fake -0.2158,
Train Epoch: [1/5] Iters:[360/40036] gen_loss 0.5630, rec_loss 0.0707, lpips_loss 0.4923, g_loss 0.2158, disc_weight 0.0000, disc_adaptive_weight 4.2651, codebook_loss 0.6585, utilization 0.0018, perplexity 19.8392, d_loss 0.0000, logits_real -0.2105, logits_fake -0.2165,
Train Epoch: [1/5] Iters:[370/40036] gen_loss 0.5611, rec_loss 0.0702, lpips_loss 0.4910, g_loss 0.2140, disc_weight 0.0000, disc_adaptive_weight 3.8873, codebook_loss 0.6606, utilization 0.0018, perplexity 20.1393, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2162,
Train Epoch: [1/5] Iters:[380/40036] gen_loss 0.5629, rec_loss 0.0711, lpips_loss 0.4918, g_loss 0.2124, disc_weight 0.0000, disc_adaptive_weight 3.6415, codebook_loss 0.6607, utilization 0.0018, perplexity 20.2589, d_loss 0.0000, logits_real -0.2074, logits_fake -0.2146,
Train Epoch: [1/5] Iters:[390/40036] gen_loss 0.5608, rec_loss 0.0703, lpips_loss 0.4904, g_loss 0.2146, disc_weight 0.0000, disc_adaptive_weight 3.5100, codebook_loss 0.6654, utilization 0.0018, perplexity 20.1957, d_loss 0.0000, logits_real -0.2067, logits_fake -0.2180,
Train Epoch: [1/5] Iters:[400/40036] gen_loss 0.5624, rec_loss 0.0704, lpips_loss 0.4920, g_loss 0.2172, disc_weight 0.0000, disc_adaptive_weight 3.6466, codebook_loss 0.6630, utilization 0.0018, perplexity 20.0927, d_loss 0.0000, logits_real -0.2066, logits_fake -0.2211,
