Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.3277, rec_loss 0.0344, lpips_loss 0.2933, g_loss 0.2098, disc_weight 0.0000, disc_adaptive_weight 3.0221, codebook_loss 0.1233, utilization 0.1227, perplexity 6138.9492, d_loss 0.0000, logits_real -0.2087, logits_fake -0.2092,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.3247, rec_loss 0.0344, lpips_loss 0.2903, g_loss 0.2098, disc_weight 0.0000, disc_adaptive_weight 2.7817, codebook_loss 0.1226, utilization 0.1230, perplexity 6142.5168, d_loss 0.0000, logits_real -0.2088, logits_fake -0.2090,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.3234, rec_loss 0.0341, lpips_loss 0.2893, g_loss 0.2115, disc_weight 0.0000, disc_adaptive_weight 2.6156, codebook_loss 0.1217, utilization 0.1232, perplexity 6175.1917, d_loss 0.0000, logits_real -0.2114, logits_fake -0.2116,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.3228, rec_loss 0.0340, lpips_loss 0.2888, g_loss 0.2114, disc_weight 0.0000, disc_adaptive_weight 2.5647, codebook_loss 0.1214, utilization 0.1231, perplexity 6167.3263, d_loss 0.0000, logits_real -0.2118, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.3215, rec_loss 0.0331, lpips_loss 0.2884, g_loss 0.2097, disc_weight 0.0000, disc_adaptive_weight 2.5932, codebook_loss 0.1207, utilization 0.1231, perplexity 6162.9852, d_loss 0.0000, logits_real -0.2109, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.3221, rec_loss 0.0334, lpips_loss 0.2887, g_loss 0.2110, disc_weight 0.0000, disc_adaptive_weight 2.7902, codebook_loss 0.1205, utilization 0.1231, perplexity 6161.4241, d_loss 0.0000, logits_real -0.2116, logits_fake -0.2110,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.3236, rec_loss 0.0332, lpips_loss 0.2903, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 2.8291, codebook_loss 0.1204, utilization 0.1231, perplexity 6174.9395, d_loss 0.0000, logits_real -0.2094, logits_fake -0.2102,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.3230, rec_loss 0.0335, lpips_loss 0.2895, g_loss 0.2073, disc_weight 0.0000, disc_adaptive_weight 2.8900, codebook_loss 0.1200, utilization 0.1230, perplexity 6150.8425, d_loss 0.0000, logits_real -0.2076, logits_fake -0.2080,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.3257, rec_loss 0.0337, lpips_loss 0.2920, g_loss 0.2059, disc_weight 0.0000, disc_adaptive_weight 2.8129, codebook_loss 0.1204, utilization 0.1232, perplexity 6175.2402, d_loss 0.0000, logits_real -0.2061, logits_fake -0.2072,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.3265, rec_loss 0.0338, lpips_loss 0.2926, g_loss 0.2063, disc_weight 0.0000, disc_adaptive_weight 2.7607, codebook_loss 0.1202, utilization 0.1235, perplexity 6196.8773, d_loss 0.0000, logits_real -0.2060, logits_fake -0.2069,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.3242, rec_loss 0.0333, lpips_loss 0.2909, g_loss 0.2076, disc_weight 0.0000, disc_adaptive_weight 2.7035, codebook_loss 0.1197, utilization 0.1236, perplexity 6188.5344, d_loss 0.0000, logits_real -0.2070, logits_fake -0.2082,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.3239, rec_loss 0.0336, lpips_loss 0.2903, g_loss 0.2088, disc_weight 0.0000, disc_adaptive_weight 2.7369, codebook_loss 0.1197, utilization 0.1237, perplexity 6193.7858, d_loss 0.0000, logits_real -0.2097, logits_fake -0.2089,
