Train Epoch: [1/5] Iters:[320/40036] gen_loss 0.5578, rec_loss 0.0687, lpips_loss 0.4891, g_loss -0.1309, disc_weight 0.0000, disc_adaptive_weight 6.2316, codebook_loss 0.6387, utilization 0.0043, perplexity 23.0965, d_loss 0.0000, logits_real 0.1333, logits_fake 0.1322,
Train Epoch: [1/5] Iters:[330/40036] gen_loss 0.5553, rec_loss 0.0680, lpips_loss 0.4872, g_loss -0.1325, disc_weight 0.0000, disc_adaptive_weight 5.8324, codebook_loss 0.6429, utilization 0.0043, perplexity 23.1471, d_loss 0.0000, logits_real 0.1334, logits_fake 0.1330,
Train Epoch: [1/5] Iters:[340/40036] gen_loss 0.5538, rec_loss 0.0680, lpips_loss 0.4858, g_loss -0.1311, disc_weight 0.0000, disc_adaptive_weight 5.3437, codebook_loss 0.6362, utilization 0.0044, perplexity 23.2042, d_loss 0.0000, logits_real 0.1322, logits_fake 0.1316,
Train Epoch: [1/5] Iters:[350/40036] gen_loss 0.5511, rec_loss 0.0678, lpips_loss 0.4833, g_loss -0.1315, disc_weight 0.0000, disc_adaptive_weight 5.4007, codebook_loss 0.6411, utilization 0.0043, perplexity 23.3699, d_loss 0.0000, logits_real 0.1355, logits_fake 0.1321,
Train Epoch: [1/5] Iters:[360/40036] gen_loss 0.5503, rec_loss 0.0676, lpips_loss 0.4828, g_loss -0.1326, disc_weight 0.0000, disc_adaptive_weight 5.1170, codebook_loss 0.6413, utilization 0.0043, perplexity 23.1717, d_loss 0.0000, logits_real 0.1384, logits_fake 0.1320,
Train Epoch: [1/5] Iters:[370/40036] gen_loss 0.5487, rec_loss 0.0670, lpips_loss 0.4817, g_loss -0.1335, disc_weight 0.0000, disc_adaptive_weight 4.9498, codebook_loss 0.6419, utilization 0.0043, perplexity 23.4647, d_loss 0.0000, logits_real 0.1377, logits_fake 0.1328,
Train Epoch: [1/5] Iters:[380/40036] gen_loss 0.5509, rec_loss 0.0678, lpips_loss 0.4830, g_loss -0.1343, disc_weight 0.0000, disc_adaptive_weight 4.8857, codebook_loss 0.6350, utilization 0.0043, perplexity 23.4180, d_loss 0.0000, logits_real 0.1402, logits_fake 0.1334,
Train Epoch: [1/5] Iters:[390/40036] gen_loss 0.5504, rec_loss 0.0678, lpips_loss 0.4826, g_loss -0.1348, disc_weight 0.0000, disc_adaptive_weight 5.4020, codebook_loss 0.6384, utilization 0.0043, perplexity 23.3585, d_loss 0.0000, logits_real 0.1397, logits_fake 0.1344,
Train Epoch: [1/5] Iters:[400/40036] gen_loss 0.5532, rec_loss 0.0681, lpips_loss 0.4851, g_loss -0.1349, disc_weight 0.0000, disc_adaptive_weight 5.1525, codebook_loss 0.6335, utilization 0.0043, perplexity 23.4146, d_loss 0.0000, logits_real 0.1367, logits_fake 0.1345,
Train Epoch: [1/5] Iters:[410/40036] gen_loss 0.5500, rec_loss 0.0678, lpips_loss 0.4822, g_loss -0.1360, disc_weight 0.0000, disc_adaptive_weight 5.1822, codebook_loss 0.6398, utilization 0.0043, perplexity 23.6316, d_loss 0.0000, logits_real 0.1351, logits_fake 0.1358,
Train Epoch: [1/5] Iters:[420/40036] gen_loss 0.5498, rec_loss 0.0685, lpips_loss 0.4813, g_loss -0.1346, disc_weight 0.0000, disc_adaptive_weight 5.2199, codebook_loss 0.6445, utilization 0.0043, perplexity 23.4592, d_loss 0.0000, logits_real 0.1374, logits_fake 0.1355,
Train Epoch: [1/5] Iters:[430/40036] gen_loss 0.5489, rec_loss 0.0683, lpips_loss 0.4805, g_loss -0.1332, disc_weight 0.0000, disc_adaptive_weight 5.1117, codebook_loss 0.6512, utilization 0.0043, perplexity 23.4787, d_loss 0.0000, logits_real 0.1347, logits_fake 0.1347,
Train Epoch: [1/5] Iters:[440/40036] gen_loss 0.5479, rec_loss 0.0677, lpips_loss 0.4802, g_loss -0.1345, disc_weight 0.0000, disc_adaptive_weight 4.7165, codebook_loss 0.6434, utilization 0.0043, perplexity 23.5320, d_loss 0.0000, logits_real 0.1363, logits_fake 0.1358,
Train Epoch: [1/5] Iters:[450/40036] gen_loss 0.5460, rec_loss 0.0667, lpips_loss 0.4793, g_loss -0.1326, disc_weight 0.0000, disc_adaptive_weight 4.7975, codebook_loss 0.6452, utilization 0.0043, perplexity 23.5430, d_loss 0.0000, logits_real 0.1366, logits_fake 0.1344,
Train Epoch: [1/5] Iters:[460/40036] gen_loss 0.5483, rec_loss 0.0674, lpips_loss 0.4809, g_loss -0.1290, disc_weight 0.0000, disc_adaptive_weight 4.7565, codebook_loss 0.6384, utilization 0.0043, perplexity 23.3477, d_loss 0.0000, logits_real 0.1362, logits_fake 0.1306,
Train Epoch: [1/5] Iters:[470/40036] gen_loss 0.5513, rec_loss 0.0686, lpips_loss 0.4827, g_loss -0.1315, disc_weight 0.0000, disc_adaptive_weight 4.8018, codebook_loss 0.6338, utilization 0.0043, perplexity 23.3273, d_loss 0.0000, logits_real 0.1364, logits_fake 0.1318,
Train Epoch: [1/5] Iters:[480/40036] gen_loss 0.5504, rec_loss 0.0686, lpips_loss 0.4819, g_loss -0.1325, disc_weight 0.0000, disc_adaptive_weight 4.9913, codebook_loss 0.6232, utilization 0.0043, perplexity 23.3658, d_loss 0.0000, logits_real 0.1359, logits_fake 0.1329,
Train Epoch: [1/5] Iters:[490/40036] gen_loss 0.5490, rec_loss 0.0693, lpips_loss 0.4797, g_loss -0.1345, disc_weight 0.0000, disc_adaptive_weight 4.8294, codebook_loss 0.6263, utilization 0.0043, perplexity 23.3723, d_loss 0.0000, logits_real 0.1377, logits_fake 0.1348,
Train Epoch: [1/5] Iters:[500/40036] gen_loss 0.5473, rec_loss 0.0688, lpips_loss 0.4786, g_loss -0.1373, disc_weight 0.0000, disc_adaptive_weight 4.9564, codebook_loss 0.6208, utilization 0.0043, perplexity 23.2008, d_loss 0.0000, logits_real 0.1378, logits_fake 0.1364,
Train Epoch: [1/5] Iters:[510/40036] gen_loss 0.5441, rec_loss 0.0673, lpips_loss 0.4767, g_loss -0.1386, disc_weight 0.0000, disc_adaptive_weight 5.0794, codebook_loss 0.6282, utilization 0.0043, perplexity 23.3788, d_loss 0.0000, logits_real 0.1375, logits_fake 0.1368,
Train Epoch: [1/5] Iters:[520/40036] gen_loss 0.5418, rec_loss 0.0659, lpips_loss 0.4759, g_loss -0.1375, disc_weight 0.0000, disc_adaptive_weight 5.0106, codebook_loss 0.6307, utilization 0.0043, perplexity 23.4706, d_loss 0.0000, logits_real 0.1370, logits_fake 0.1357,
Train Epoch: [1/5] Iters:[530/40036] gen_loss 0.5389, rec_loss 0.0654, lpips_loss 0.4735, g_loss -0.1358, disc_weight 0.0000, disc_adaptive_weight 4.9780, codebook_loss 0.6399, utilization 0.0043, perplexity 23.4377, d_loss 0.0000, logits_real 0.1344, logits_fake 0.1329,
Train Epoch: [1/5] Iters:[540/40036] gen_loss 0.5387, rec_loss 0.0655, lpips_loss 0.4732, g_loss -0.1333, disc_weight 0.0000, disc_adaptive_weight 5.2634, codebook_loss 0.6482, utilization 0.0043, perplexity 23.5386, d_loss 0.0000, logits_real 0.1321, logits_fake 0.1294,
Train Epoch: [1/5] Iters:[550/40036] gen_loss 0.5396, rec_loss 0.0664, lpips_loss 0.4732, g_loss -0.1354, disc_weight 0.0000, disc_adaptive_weight 4.9518, codebook_loss 0.6489, utilization 0.0043, perplexity 23.5917, d_loss 0.0000, logits_real 0.1334, logits_fake 0.1314,
Train Epoch: [1/5] Iters:[560/40036] gen_loss 0.5399, rec_loss 0.0668, lpips_loss 0.4731, g_loss -0.1386, disc_weight 0.0000, disc_adaptive_weight 4.7983, codebook_loss 0.6444, utilization 0.0043, perplexity 23.5512, d_loss 0.0000, logits_real 0.1353, logits_fake 0.1355,
Train Epoch: [1/5] Iters:[570/40036] gen_loss 0.5370, rec_loss 0.0668, lpips_loss 0.4701, g_loss -0.1388, disc_weight 0.0000, disc_adaptive_weight 4.6232, codebook_loss 0.6473, utilization 0.0043, perplexity 23.5339, d_loss 0.0000, logits_real 0.1339, logits_fake 0.1355,
Train Epoch: [1/5] Iters:[580/40036] gen_loss 0.5346, rec_loss 0.0659, lpips_loss 0.4687, g_loss -0.1383, disc_weight 0.0000, disc_adaptive_weight 4.4422, codebook_loss 0.6475, utilization 0.0043, perplexity 23.6649, d_loss 0.0000, logits_real 0.1352, logits_fake 0.1370,
Train Epoch: [1/5] Iters:[590/40036] gen_loss 0.5339, rec_loss 0.0653, lpips_loss 0.4686, g_loss -0.1384, disc_weight 0.0000, disc_adaptive_weight 4.0171, codebook_loss 0.6407, utilization 0.0043, perplexity 23.5571, d_loss 0.0000, logits_real 0.1349, logits_fake 0.1386,
Train Epoch: [1/5] Iters:[600/40036] gen_loss 0.5327, rec_loss 0.0656, lpips_loss 0.4670, g_loss -0.1349, disc_weight 0.0000, disc_adaptive_weight 4.1362, codebook_loss 0.6361, utilization 0.0042, perplexity 23.5219, d_loss 0.0000, logits_real 0.1340, logits_fake 0.1355,
Train Epoch: [1/5] Iters:[610/40036] gen_loss 0.5338, rec_loss 0.0656, lpips_loss 0.4682, g_loss -0.1324, disc_weight 0.0000, disc_adaptive_weight 4.3663, codebook_loss 0.6334, utilization 0.0042, perplexity 23.5472, d_loss 0.0000, logits_real 0.1318, logits_fake 0.1339,
Train Epoch: [1/5] Iters:[620/40036] gen_loss 0.5349, rec_loss 0.0648, lpips_loss 0.4701, g_loss -0.1310, disc_weight 0.0000, disc_adaptive_weight 4.8864, codebook_loss 0.6284, utilization 0.0042, perplexity 23.5790, d_loss 0.0000, logits_real 0.1310, logits_fake 0.1349,
Train Epoch: [1/5] Iters:[630/40036] gen_loss 0.5408, rec_loss 0.0671, lpips_loss 0.4736, g_loss -0.1334, disc_weight 0.0000, disc_adaptive_weight 5.1174, codebook_loss 0.6293, utilization 0.0042, perplexity 23.3841, d_loss 0.0000, logits_real 0.1330, logits_fake 0.1366,
Train Epoch: [1/5] Iters:[640/40036] gen_loss 0.5420, rec_loss 0.0673, lpips_loss 0.4747, g_loss -0.1333, disc_weight 0.0000, disc_adaptive_weight 5.2877, codebook_loss 0.6323, utilization 0.0042, perplexity 23.4332, d_loss 0.0000, logits_real 0.1333, logits_fake 0.1366,
Train Epoch: [1/5] Iters:[650/40036] gen_loss 0.5425, rec_loss 0.0666, lpips_loss 0.4760, g_loss -0.1338, disc_weight 0.0000, disc_adaptive_weight 5.1499, codebook_loss 0.6405, utilization 0.0042, perplexity 23.5388, d_loss 0.0000, logits_real 0.1320, logits_fake 0.1376,
Train Epoch: [1/5] Iters:[660/40036] gen_loss 0.5439, rec_loss 0.0679, lpips_loss 0.4759, g_loss -0.1335, disc_weight 0.0000, disc_adaptive_weight 4.9547, codebook_loss 0.6362, utilization 0.0042, perplexity 23.4239, d_loss 0.0000, logits_real 0.1335, logits_fake 0.1366,
Train Epoch: [1/5] Iters:[670/40036] gen_loss 0.5408, rec_loss 0.0677, lpips_loss 0.4731, g_loss -0.1338, disc_weight 0.0000, disc_adaptive_weight 4.6030, codebook_loss 0.6347, utilization 0.0042, perplexity 23.4095, d_loss 0.0000, logits_real 0.1341, logits_fake 0.1340,
Train Epoch: [1/5] Iters:[680/40036] gen_loss 0.5385, rec_loss 0.0667, lpips_loss 0.4719, g_loss -0.1318, disc_weight 0.0000, disc_adaptive_weight 4.4585, codebook_loss 0.6325, utilization 0.0042, perplexity 23.5734, d_loss 0.0000, logits_real 0.1333, logits_fake 0.1319,
Train Epoch: [1/5] Iters:[690/40036] gen_loss 0.5382, rec_loss 0.0662, lpips_loss 0.4721, g_loss -0.1304, disc_weight 0.0000, disc_adaptive_weight 4.2514, codebook_loss 0.6282, utilization 0.0042, perplexity 23.5409, d_loss 0.0000, logits_real 0.1322, logits_fake 0.1308,
Train Epoch: [1/5] Iters:[700/40036] gen_loss 0.5381, rec_loss 0.0664, lpips_loss 0.4717, g_loss -0.1302, disc_weight 0.0000, disc_adaptive_weight 4.5976, codebook_loss 0.6227, utilization 0.0042, perplexity 23.4471, d_loss 0.0000, logits_real 0.1356, logits_fake 0.1321,
Train Epoch: [1/5] Iters:[710/40036] gen_loss 0.5379, rec_loss 0.0655, lpips_loss 0.4724, g_loss -0.1341, disc_weight 0.0000, disc_adaptive_weight 4.5967, codebook_loss 0.6307, utilization 0.0042, perplexity 23.5012, d_loss 0.0000, logits_real 0.1370, logits_fake 0.1349,
Train Epoch: [1/5] Iters:[720/40036] gen_loss 0.5394, rec_loss 0.0660, lpips_loss 0.4734, g_loss -0.1344, disc_weight 0.0000, disc_adaptive_weight 4.7503, codebook_loss 0.6322, utilization 0.0042, perplexity 23.4135, d_loss 0.0000, logits_real 0.1372, logits_fake 0.1368,
