Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.3961, rec_loss 0.0394, lpips_loss 0.3567, g_loss -0.0341, disc_weight 0.0000, disc_adaptive_weight 4.3930, codebook_loss 0.4034, utilization 0.0392, perplexity 1348.2730, d_loss 0.0000, logits_real 0.0350, logits_fake 0.0369,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.3975, rec_loss 0.0404, lpips_loss 0.3571, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 3.9073, codebook_loss 0.4025, utilization 0.0392, perplexity 1351.0692, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0351,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.3948, rec_loss 0.0397, lpips_loss 0.3550, g_loss -0.0330, disc_weight 0.0000, disc_adaptive_weight 3.9729, codebook_loss 0.4012, utilization 0.0392, perplexity 1356.6833, d_loss 0.0000, logits_real 0.0317, logits_fake 0.0344,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.3948, rec_loss 0.0394, lpips_loss 0.3553, g_loss -0.0327, disc_weight 0.0000, disc_adaptive_weight 4.2010, codebook_loss 0.3985, utilization 0.0391, perplexity 1361.4040, d_loss 0.0000, logits_real 0.0314, logits_fake 0.0335,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.3929, rec_loss 0.0394, lpips_loss 0.3534, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 4.3930, codebook_loss 0.3962, utilization 0.0392, perplexity 1364.7842, d_loss 0.0000, logits_real 0.0305, logits_fake 0.0321,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.3909, rec_loss 0.0393, lpips_loss 0.3516, g_loss -0.0313, disc_weight 0.0000, disc_adaptive_weight 4.2609, codebook_loss 0.3945, utilization 0.0393, perplexity 1374.7044, d_loss 0.0000, logits_real 0.0307, logits_fake 0.0318,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.3864, rec_loss 0.0382, lpips_loss 0.3482, g_loss -0.0296, disc_weight 0.0000, disc_adaptive_weight 4.2678, codebook_loss 0.3918, utilization 0.0393, perplexity 1380.9552, d_loss 0.0000, logits_real 0.0303, logits_fake 0.0303,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.3872, rec_loss 0.0390, lpips_loss 0.3482, g_loss -0.0319, disc_weight 0.0000, disc_adaptive_weight 4.0427, codebook_loss 0.3918, utilization 0.0394, perplexity 1389.0959, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0318,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.3875, rec_loss 0.0389, lpips_loss 0.3486, g_loss -0.0297, disc_weight 0.0000, disc_adaptive_weight 3.8087, codebook_loss 0.3905, utilization 0.0394, perplexity 1387.9600, d_loss 0.0000, logits_real 0.0323, logits_fake 0.0299,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.3904, rec_loss 0.0399, lpips_loss 0.3506, g_loss -0.0295, disc_weight 0.0000, disc_adaptive_weight 3.9258, codebook_loss 0.3900, utilization 0.0394, perplexity 1393.3909, d_loss 0.0000, logits_real 0.0316, logits_fake 0.0293,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.3922, rec_loss 0.0404, lpips_loss 0.3519, g_loss -0.0279, disc_weight 0.0000, disc_adaptive_weight 4.0918, codebook_loss 0.3904, utilization 0.0395, perplexity 1401.2026, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0287,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.3915, rec_loss 0.0402, lpips_loss 0.3513, g_loss -0.0282, disc_weight 0.0000, disc_adaptive_weight 3.9268, codebook_loss 0.3907, utilization 0.0395, perplexity 1407.7020, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0300,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.3916, rec_loss 0.0397, lpips_loss 0.3520, g_loss -0.0266, disc_weight 0.0000, disc_adaptive_weight 4.0670, codebook_loss 0.3890, utilization 0.0397, perplexity 1420.8901, d_loss 0.0000, logits_real 0.0285, logits_fake 0.0285,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.3908, rec_loss 0.0400, lpips_loss 0.3508, g_loss -0.0288, disc_weight 0.0000, disc_adaptive_weight 4.0518, codebook_loss 0.3907, utilization 0.0399, perplexity 1432.4615, d_loss 0.0000, logits_real 0.0292, logits_fake 0.0305,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.3874, rec_loss 0.0389, lpips_loss 0.3484, g_loss -0.0299, disc_weight 0.0000, disc_adaptive_weight 4.0292, codebook_loss 0.3889, utilization 0.0401, perplexity 1442.3557, d_loss 0.0000, logits_real 0.0309, logits_fake 0.0315,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.3865, rec_loss 0.0395, lpips_loss 0.3469, g_loss -0.0312, disc_weight 0.0000, disc_adaptive_weight 4.1589, codebook_loss 0.3886, utilization 0.0401, perplexity 1446.4972, d_loss 0.0000, logits_real 0.0319, logits_fake 0.0333,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.3883, rec_loss 0.0398, lpips_loss 0.3485, g_loss -0.0320, disc_weight 0.0000, disc_adaptive_weight 4.2464, codebook_loss 0.3875, utilization 0.0403, perplexity 1455.0044, d_loss 0.0000, logits_real 0.0315, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.3851, rec_loss 0.0398, lpips_loss 0.3453, g_loss -0.0334, disc_weight 0.0000, disc_adaptive_weight 4.2207, codebook_loss 0.3870, utilization 0.0403, perplexity 1455.1809, d_loss 0.0000, logits_real 0.0329, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.3843, rec_loss 0.0396, lpips_loss 0.3447, g_loss -0.0328, disc_weight 0.0000, disc_adaptive_weight 4.3013, codebook_loss 0.3847, utilization 0.0405, perplexity 1465.6061, d_loss 0.0000, logits_real 0.0326, logits_fake 0.0341,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.3837, rec_loss 0.0394, lpips_loss 0.3443, g_loss -0.0332, disc_weight 0.0000, disc_adaptive_weight 4.0910, codebook_loss 0.3842, utilization 0.0406, perplexity 1468.3213, d_loss 0.0000, logits_real 0.0318, logits_fake 0.0346,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.3822, rec_loss 0.0383, lpips_loss 0.3440, g_loss -0.0341, disc_weight 0.0000, disc_adaptive_weight 4.3017, codebook_loss 0.3820, utilization 0.0408, perplexity 1475.3273, d_loss 0.0000, logits_real 0.0328, logits_fake 0.0338,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.3823, rec_loss 0.0386, lpips_loss 0.3437, g_loss -0.0334, disc_weight 0.0000, disc_adaptive_weight 4.4114, codebook_loss 0.3821, utilization 0.0409, perplexity 1482.3161, d_loss 0.0000, logits_real 0.0332, logits_fake 0.0332,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.3834, rec_loss 0.0384, lpips_loss 0.3450, g_loss -0.0311, disc_weight 0.0000, disc_adaptive_weight 4.3690, codebook_loss 0.3812, utilization 0.0410, perplexity 1490.6073, d_loss 0.0000, logits_real 0.0298, logits_fake 0.0305,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.3818, rec_loss 0.0386, lpips_loss 0.3432, g_loss -0.0320, disc_weight 0.0000, disc_adaptive_weight 4.4839, codebook_loss 0.3819, utilization 0.0412, perplexity 1497.0594, d_loss 0.0000, logits_real 0.0299, logits_fake 0.0303,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.3839, rec_loss 0.0388, lpips_loss 0.3451, g_loss -0.0308, disc_weight 0.0000, disc_adaptive_weight 4.7955, codebook_loss 0.3832, utilization 0.0413, perplexity 1507.6644, d_loss 0.0000, logits_real 0.0302, logits_fake 0.0292,
