Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.2931, rec_loss 0.0312, lpips_loss 0.2619, g_loss 0.2002, disc_weight 0.0000, disc_adaptive_weight 2.9497, codebook_loss 0.7265, utilization 0.2038, perplexity 12027.1587, d_loss 0.0000, logits_real -0.1985, logits_fake -0.1998,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.2943, rec_loss 0.0312, lpips_loss 0.2631, g_loss 0.1997, disc_weight 0.0000, disc_adaptive_weight 2.8440, codebook_loss 0.7255, utilization 0.2038, perplexity 12055.6070, d_loss 0.0000, logits_real -0.1985, logits_fake -0.1990,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.2926, rec_loss 0.0312, lpips_loss 0.2614, g_loss 0.1994, disc_weight 0.0000, disc_adaptive_weight 2.6879, codebook_loss 0.7232, utilization 0.2034, perplexity 12003.6679, d_loss 0.0000, logits_real -0.1975, logits_fake -0.1976,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.2914, rec_loss 0.0310, lpips_loss 0.2604, g_loss 0.2002, disc_weight 0.0000, disc_adaptive_weight 2.6218, codebook_loss 0.7209, utilization 0.2032, perplexity 11978.3259, d_loss 0.0000, logits_real -0.1983, logits_fake -0.1981,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.2886, rec_loss 0.0303, lpips_loss 0.2582, g_loss 0.1997, disc_weight 0.0000, disc_adaptive_weight 2.6812, codebook_loss 0.7160, utilization 0.2031, perplexity 11933.7937, d_loss 0.0000, logits_real -0.1978, logits_fake -0.1974,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.2894, rec_loss 0.0310, lpips_loss 0.2585, g_loss 0.2003, disc_weight 0.0000, disc_adaptive_weight 2.6688, codebook_loss 0.7184, utilization 0.2029, perplexity 11924.3686, d_loss 0.0000, logits_real -0.1985, logits_fake -0.1977,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.2893, rec_loss 0.0308, lpips_loss 0.2585, g_loss 0.2010, disc_weight 0.0000, disc_adaptive_weight 2.5637, codebook_loss 0.7160, utilization 0.2030, perplexity 11926.5323, d_loss 0.0000, logits_real -0.1986, logits_fake -0.1987,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.2924, rec_loss 0.0315, lpips_loss 0.2609, g_loss 0.2042, disc_weight 0.0000, disc_adaptive_weight 2.5559, codebook_loss 0.7172, utilization 0.2033, perplexity 11973.8965, d_loss 0.0000, logits_real -0.2022, logits_fake -0.2021,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.2944, rec_loss 0.0320, lpips_loss 0.2624, g_loss 0.2037, disc_weight 0.0000, disc_adaptive_weight 2.5328, codebook_loss 0.7205, utilization 0.2036, perplexity 12025.3463, d_loss 0.0000, logits_real -0.2015, logits_fake -0.2013,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.2934, rec_loss 0.0319, lpips_loss 0.2616, g_loss 0.2036, disc_weight 0.0000, disc_adaptive_weight 2.5057, codebook_loss 0.7222, utilization 0.2033, perplexity 12010.6923, d_loss 0.0000, logits_real -0.2016, logits_fake -0.2021,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.2939, rec_loss 0.0314, lpips_loss 0.2625, g_loss 0.2016, disc_weight 0.0000, disc_adaptive_weight 2.5301, codebook_loss 0.7202, utilization 0.2036, perplexity 12046.4283, d_loss 0.0000, logits_real -0.1998, logits_fake -0.2009,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.2938, rec_loss 0.0318, lpips_loss 0.2620, g_loss 0.2022, disc_weight 0.0000, disc_adaptive_weight 2.4303, codebook_loss 0.7202, utilization 0.2037, perplexity 12058.4155, d_loss 0.0000, logits_real -0.2002, logits_fake -0.2014,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.2904, rec_loss 0.0309, lpips_loss 0.2596, g_loss 0.1985, disc_weight 0.0000, disc_adaptive_weight 2.3793, codebook_loss 0.7182, utilization 0.2037, perplexity 12056.4954, d_loss 0.0000, logits_real -0.1953, logits_fake -0.1978,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.2903, rec_loss 0.0314, lpips_loss 0.2589, g_loss 0.1987, disc_weight 0.0000, disc_adaptive_weight 2.3114, codebook_loss 0.7154, utilization 0.2038, perplexity 12064.3109, d_loss 0.0000, logits_real -0.1960, logits_fake -0.1991,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.2924, rec_loss 0.0316, lpips_loss 0.2607, g_loss 0.2002, disc_weight 0.0000, disc_adaptive_weight 2.3320, codebook_loss 0.7123, utilization 0.2041, perplexity 12092.4330, d_loss 0.0000, logits_real -0.1968, logits_fake -0.2001,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.2897, rec_loss 0.0316, lpips_loss 0.2581, g_loss 0.2005, disc_weight 0.0000, disc_adaptive_weight 2.2713, codebook_loss 0.7164, utilization 0.2039, perplexity 12068.3560, d_loss 0.0000, logits_real -0.1975, logits_fake -0.2011,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.2889, rec_loss 0.0314, lpips_loss 0.2575, g_loss 0.2015, disc_weight 0.0000, disc_adaptive_weight 2.4078, codebook_loss 0.7132, utilization 0.2041, perplexity 12087.6730, d_loss 0.0000, logits_real -0.1974, logits_fake -0.2017,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.2887, rec_loss 0.0312, lpips_loss 0.2574, g_loss 0.2028, disc_weight 0.0000, disc_adaptive_weight 2.5445, codebook_loss 0.7105, utilization 0.2039, perplexity 12080.2616, d_loss 0.0000, logits_real -0.1999, logits_fake -0.2045,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.2866, rec_loss 0.0302, lpips_loss 0.2564, g_loss 0.2030, disc_weight 0.0000, disc_adaptive_weight 2.6123, codebook_loss 0.7079, utilization 0.2037, perplexity 12042.1643, d_loss 0.0000, logits_real -0.2005, logits_fake -0.2039,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.2865, rec_loss 0.0304, lpips_loss 0.2562, g_loss 0.2034, disc_weight 0.0000, disc_adaptive_weight 2.5387, codebook_loss 0.7112, utilization 0.2038, perplexity 12075.8580, d_loss 0.0000, logits_real -0.2015, logits_fake -0.2045,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.2878, rec_loss 0.0303, lpips_loss 0.2575, g_loss 0.2045, disc_weight 0.0000, disc_adaptive_weight 2.5310, codebook_loss 0.7037, utilization 0.2039, perplexity 12089.5389, d_loss 0.0000, logits_real -0.2020, logits_fake -0.2051,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.2871, rec_loss 0.0305, lpips_loss 0.2566, g_loss 0.2036, disc_weight 0.0000, disc_adaptive_weight 2.4556, codebook_loss 0.7041, utilization 0.2037, perplexity 12056.6062, d_loss 0.0000, logits_real -0.2020, logits_fake -0.2046,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.2896, rec_loss 0.0308, lpips_loss 0.2588, g_loss 0.2043, disc_weight 0.0000, disc_adaptive_weight 2.3530, codebook_loss 0.7080, utilization 0.2041, perplexity 12088.6588, d_loss 0.0000, logits_real -0.2030, logits_fake -0.2041,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.2904, rec_loss 0.0310, lpips_loss 0.2594, g_loss 0.2045, disc_weight 0.0000, disc_adaptive_weight 2.3233, codebook_loss 0.7083, utilization 0.2044, perplexity 12128.1504, d_loss 0.0000, logits_real -0.2029, logits_fake -0.2043,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.2889, rec_loss 0.0305, lpips_loss 0.2584, g_loss 0.2038, disc_weight 0.0000, disc_adaptive_weight 2.3091, codebook_loss 0.7046, utilization 0.2039, perplexity 12058.6193, d_loss 0.0000, logits_real -0.2018, logits_fake -0.2036,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.2887, rec_loss 0.0306, lpips_loss 0.2581, g_loss 0.2033, disc_weight 0.0000, disc_adaptive_weight 2.4082, codebook_loss 0.7036, utilization 0.2038, perplexity 12040.2161, d_loss 0.0000, logits_real -0.2019, logits_fake -0.2029,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.2895, rec_loss 0.0307, lpips_loss 0.2588, g_loss 0.2035, disc_weight 0.0000, disc_adaptive_weight 2.5247, codebook_loss 0.7050, utilization 0.2039, perplexity 12059.8326, d_loss 0.0000, logits_real -0.2024, logits_fake -0.2033,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.2875, rec_loss 0.0308, lpips_loss 0.2566, g_loss 0.2019, disc_weight 0.0000, disc_adaptive_weight 2.4831, codebook_loss 0.6987, utilization 0.2035, perplexity 12018.4621, d_loss 0.0000, logits_real -0.2000, logits_fake -0.2015,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.2872, rec_loss 0.0309, lpips_loss 0.2563, g_loss 0.2015, disc_weight 0.0000, disc_adaptive_weight 2.5738, codebook_loss 0.6948, utilization 0.2036, perplexity 12013.2326, d_loss 0.0000, logits_real -0.1999, logits_fake -0.2009,
