dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.2
training_pre: ema_vq_transplant_False
saver_name_pre: ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[770/20018] transplant_loss 0.8647, rec_loss 0.0376, quant_error 0.2236,
Train Epoch: [1/5] Iters:[780/20018] transplant_loss 0.8648, rec_loss 0.0376, quant_error 0.2237,
Train Epoch: [1/5] Iters:[790/20018] transplant_loss 0.8633, rec_loss 0.0377, quant_error 0.2236,
Train Epoch: [1/5] Iters:[800/20018] transplant_loss 0.8623, rec_loss 0.0379, quant_error 0.2237,
Train Epoch: [1/5] Iters:[810/20018] transplant_loss 0.8597, rec_loss 0.0386, quant_error 0.2229,
Train Epoch: [1/5] Iters:[820/20018] transplant_loss 0.8609, rec_loss 0.0386, quant_error 0.2233,
Train Epoch: [1/5] Iters:[830/20018] transplant_loss 0.8597, rec_loss 0.0385, quant_error 0.2229,
Train Epoch: [1/5] Iters:[840/20018] transplant_loss 0.8597, rec_loss 0.0383, quant_error 0.2232,
Train Epoch: [1/5] Iters:[850/20018] transplant_loss 0.8585, rec_loss 0.0379, quant_error 0.2224,
Train Epoch: [1/5] Iters:[860/20018] transplant_loss 0.8587, rec_loss 0.0377, quant_error 0.2224,
Train Epoch: [1/5] Iters:[870/20018] transplant_loss 0.8569, rec_loss 0.0377, quant_error 0.2224,
Train Epoch: [1/5] Iters:[880/20018] transplant_loss 0.8562, rec_loss 0.0377, quant_error 0.2223,
Train Epoch: [1/5] Iters:[890/20018] transplant_loss 0.8554, rec_loss 0.0372, quant_error 0.2223,
Train Epoch: [1/5] Iters:[900/20018] transplant_loss 0.8557, rec_loss 0.0380, quant_error 0.2233,
Train Epoch: [1/5] Iters:[910/20018] transplant_loss 0.8527, rec_loss 0.0382, quant_error 0.2225,
Train Epoch: [1/5] Iters:[920/20018] transplant_loss 0.8505, rec_loss 0.0380, quant_error 0.2213,
Train Epoch: [1/5] Iters:[930/20018] transplant_loss 0.8493, rec_loss 0.0379, quant_error 0.2214,
Train Epoch: [1/5] Iters:[940/20018] transplant_loss 0.8466, rec_loss 0.0383, quant_error 0.2208,
