dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
residual: False
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_32_1
loss_pre: loss_0.5_0.2
training_pre: wasserstein_vq_transplant_False_False
saver_name_pre: wasserstein_vq_transplant_False_False_ImageNet_model_16384_32_1_loss_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.010000
Train Epoch: [1/5] Iters:[1020/20018] transplant_loss 9.8037, rec_loss 0.2979, quant_error 4.8430, utilization 0.0897, perplexity 462.6829,
Train Epoch: [1/5] Iters:[1030/20018] transplant_loss 9.7994, rec_loss 0.2968, quant_error 4.8402, utilization 0.0902, perplexity 466.6274,
Train Epoch: [1/5] Iters:[1040/20018] transplant_loss 9.7774, rec_loss 0.2948, quant_error 4.8266, utilization 0.0901, perplexity 466.4628,
Train Epoch: [1/5] Iters:[1050/20018] transplant_loss 9.7428, rec_loss 0.2921, quant_error 4.8020, utilization 0.0903, perplexity 467.1077,
Train Epoch: [1/5] Iters:[1060/20018] transplant_loss 9.7305, rec_loss 0.2921, quant_error 4.7978, utilization 0.0904, perplexity 466.8957,
Train Epoch: [1/5] Iters:[1070/20018] transplant_loss 9.7234, rec_loss 0.2914, quant_error 4.7948, utilization 0.0907, perplexity 469.5791,
Train Epoch: [1/5] Iters:[1080/20018] transplant_loss 9.7194, rec_loss 0.2917, quant_error 4.7919, utilization 0.0905, perplexity 469.2429,
Train Epoch: [1/5] Iters:[1090/20018] transplant_loss 9.7328, rec_loss 0.2937, quant_error 4.8040, utilization 0.0907, perplexity 469.6170,
Train Epoch: [1/5] Iters:[1100/20018] transplant_loss 9.7279, rec_loss 0.2939, quant_error 4.7988, utilization 0.0911, perplexity 473.8925,
Train Epoch: [1/5] Iters:[1110/20018] transplant_loss 9.7282, rec_loss 0.2935, quant_error 4.7985, utilization 0.0914, perplexity 478.4304,
Train Epoch: [1/5] Iters:[1120/20018] transplant_loss 9.7330, rec_loss 0.2938, quant_error 4.8008, utilization 0.0916, perplexity 478.2941,
Train Epoch: [1/5] Iters:[1130/20018] transplant_loss 9.7594, rec_loss 0.2954, quant_error 4.8232, utilization 0.0914, perplexity 475.4783,
Train Epoch: [1/5] Iters:[1140/20018] transplant_loss 9.7619, rec_loss 0.2944, quant_error 4.8229, utilization 0.0918, perplexity 478.6696,
Train Epoch: [1/5] Iters:[1150/20018] transplant_loss 9.7646, rec_loss 0.2950, quant_error 4.8273, utilization 0.0913, perplexity 474.4301,
Train Epoch: [1/5] Iters:[1160/20018] transplant_loss 9.8005, rec_loss 0.2971, quant_error 4.8518, utilization 0.0906, perplexity 468.7474,
Train Epoch: [1/5] Iters:[1170/20018] transplant_loss 9.7899, rec_loss 0.2958, quant_error 4.8420, utilization 0.0907, perplexity 471.0747,
Train Epoch: [1/5] Iters:[1180/20018] transplant_loss 9.7888, rec_loss 0.2966, quant_error 4.8415, utilization 0.0905, perplexity 469.4564,
Train Epoch: [1/5] Iters:[1190/20018] transplant_loss 9.7775, rec_loss 0.2969, quant_error 4.8330, utilization 0.0907, perplexity 471.0948,
Train Epoch: [1/5] Iters:[1200/20018] transplant_loss 9.7613, rec_loss 0.2967, quant_error 4.8193, utilization 0.0916, perplexity 478.6303,
Train Epoch: [1/5] Iters:[1210/20018] transplant_loss 9.7291, rec_loss 0.2953, quant_error 4.7994, utilization 0.0920, perplexity 481.3285,
Train Epoch: [1/5] Iters:[1220/20018] transplant_loss 9.7529, rec_loss 0.3000, quant_error 4.8257, utilization 0.0917, perplexity 477.4369,
Train Epoch: [1/5] Iters:[1230/20018] transplant_loss 9.7403, rec_loss 0.2991, quant_error 4.8120, utilization 0.0920, perplexity 479.3697,
Train Epoch: [1/5] Iters:[1240/20018] transplant_loss 9.7444, rec_loss 0.2977, quant_error 4.8189, utilization 0.0920, perplexity 479.3031,
Train Epoch: [1/5] Iters:[1250/20018] transplant_loss 9.7743, rec_loss 0.2989, quant_error 4.8404, utilization 0.0916, perplexity 476.6007,
Train Epoch: [1/5] Iters:[1260/20018] transplant_loss 9.7760, rec_loss 0.3002, quant_error 4.8437, utilization 0.0918, perplexity 477.2257,
Train Epoch: [1/5] Iters:[1270/20018] transplant_loss 9.7761, rec_loss 0.2985, quant_error 4.8346, utilization 0.0924, perplexity 483.8417,
Train Epoch: [1/5] Iters:[1280/20018] transplant_loss 9.7707, rec_loss 0.2982, quant_error 4.8348, utilization 0.0928, perplexity 487.0183,
Train Epoch: [1/5] Iters:[1290/20018] transplant_loss 9.7486, rec_loss 0.2985, quant_error 4.8167, utilization 0.0929, perplexity 486.0312,
Train Epoch: [1/5] Iters:[1300/20018] transplant_loss 9.7461, rec_loss 0.2980, quant_error 4.8196, utilization 0.0929, perplexity 485.5925,
Train Epoch: [1/5] Iters:[1310/20018] transplant_loss 9.7255, rec_loss 0.2967, quant_error 4.8004, utilization 0.0931, perplexity 487.9901,
Train Epoch: [1/5] Iters:[1320/20018] transplant_loss 9.7174, rec_loss 0.2966, quant_error 4.8001, utilization 0.0930, perplexity 487.0559,
Train Epoch: [1/5] Iters:[1330/20018] transplant_loss 9.7084, rec_loss 0.2961, quant_error 4.7931, utilization 0.0931, perplexity 488.9161,
Train Epoch: [1/5] Iters:[1340/20018] transplant_loss 9.7162, rec_loss 0.2967, quant_error 4.8011, utilization 0.0933, perplexity 490.9160,
Train Epoch: [1/5] Iters:[1350/20018] transplant_loss 9.7351, rec_loss 0.2998, quant_error 4.8158, utilization 0.0932, perplexity 491.0506,
Train Epoch: [1/5] Iters:[1360/20018] transplant_loss 9.7147, rec_loss 0.2996, quant_error 4.8013, utilization 0.0932, perplexity 489.3930,
Train Epoch: [1/5] Iters:[1370/20018] transplant_loss 9.7189, rec_loss 0.2994, quant_error 4.8074, utilization 0.0931, perplexity 488.5972,
Train Epoch: [1/5] Iters:[1380/20018] transplant_loss 9.7271, rec_loss 0.2994, quant_error 4.8150, utilization 0.0931, perplexity 488.0669,
Train Epoch: [1/5] Iters:[1390/20018] transplant_loss 9.7205, rec_loss 0.2985, quant_error 4.8096, utilization 0.0932, perplexity 490.9046,
Train Epoch: [1/5] Iters:[1400/20018] transplant_loss 9.7071, rec_loss 0.2975, quant_error 4.7966, utilization 0.0933, perplexity 491.1052,
Train Epoch: [1/5] Iters:[1410/20018] transplant_loss 9.7198, rec_loss 0.2952, quant_error 4.8080, utilization 0.0936, perplexity 495.7447,
Train Epoch: [1/5] Iters:[1420/20018] transplant_loss 9.6790, rec_loss 0.2933, quant_error 4.7784, utilization 0.0940, perplexity 500.8096,
Train Epoch: [1/5] Iters:[1430/20018] transplant_loss 9.6676, rec_loss 0.2935, quant_error 4.7732, utilization 0.0944, perplexity 504.8837,
Train Epoch: [1/5] Iters:[1440/20018] transplant_loss 9.6683, rec_loss 0.2935, quant_error 4.7735, utilization 0.0946, perplexity 504.9248,
Train Epoch: [1/5] Iters:[1450/20018] transplant_loss 9.6448, rec_loss 0.2912, quant_error 4.7622, utilization 0.0950, perplexity 508.9919,
Train Epoch: [1/5] Iters:[1460/20018] transplant_loss 9.6315, rec_loss 0.2921, quant_error 4.7548, utilization 0.0952, perplexity 511.0975,
Train Epoch: [1/5] Iters:[1470/20018] transplant_loss 9.6734, rec_loss 0.2959, quant_error 4.7884, utilization 0.0946, perplexity 504.4784,
