dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[1670/20018] transplant_loss 2.8583, rec_loss 0.0511, quant_error 0.4424,
Train Epoch: [1/5] Iters:[1680/20018] transplant_loss 2.8626, rec_loss 0.0509, quant_error 0.4423,
Train Epoch: [1/5] Iters:[1690/20018] transplant_loss 2.8615, rec_loss 0.0511, quant_error 0.4430,
Train Epoch: [1/5] Iters:[1700/20018] transplant_loss 2.8345, rec_loss 0.0504, quant_error 0.4404,
Train Epoch: [1/5] Iters:[1710/20018] transplant_loss 2.8331, rec_loss 0.0512, quant_error 0.4414,
Train Epoch: [1/5] Iters:[1720/20018] transplant_loss 2.8329, rec_loss 0.0513, quant_error 0.4420,
Train Epoch: [1/5] Iters:[1730/20018] transplant_loss 2.8246, rec_loss 0.0513, quant_error 0.4415,
Train Epoch: [1/5] Iters:[1740/20018] transplant_loss 2.8308, rec_loss 0.0514, quant_error 0.4413,
Train Epoch: [1/5] Iters:[1750/20018] transplant_loss 2.8427, rec_loss 0.0521, quant_error 0.4418,
Train Epoch: [1/5] Iters:[1760/20018] transplant_loss 2.8415, rec_loss 0.0516, quant_error 0.4411,
Train Epoch: [1/5] Iters:[1770/20018] transplant_loss 2.8454, rec_loss 0.0516, quant_error 0.4410,
Train Epoch: [1/5] Iters:[1780/20018] transplant_loss 2.8562, rec_loss 0.0518, quant_error 0.4418,
Train Epoch: [1/5] Iters:[1790/20018] transplant_loss 2.8524, rec_loss 0.0516, quant_error 0.4412,
Train Epoch: [1/5] Iters:[1800/20018] transplant_loss 2.8284, rec_loss 0.0511, quant_error 0.4396,
Train Epoch: [1/5] Iters:[1810/20018] transplant_loss 2.8317, rec_loss 0.0515, quant_error 0.4406,
Train Epoch: [1/5] Iters:[1820/20018] transplant_loss 2.8146, rec_loss 0.0508, quant_error 0.4380,
Train Epoch: [1/5] Iters:[1830/20018] transplant_loss 2.8112, rec_loss 0.0512, quant_error 0.4380,
Train Epoch: [1/5] Iters:[1840/20018] transplant_loss 2.8101, rec_loss 0.0517, quant_error 0.4382,
Train Epoch: [1/5] Iters:[1850/20018] transplant_loss 2.8233, rec_loss 0.0523, quant_error 0.4396,
Train Epoch: [1/5] Iters:[1860/20018] transplant_loss 2.8070, rec_loss 0.0522, quant_error 0.4387,
Train Epoch: [1/5] Iters:[1870/20018] transplant_loss 2.8078, rec_loss 0.0528, quant_error 0.4397,
Train Epoch: [1/5] Iters:[1880/20018] transplant_loss 2.7994, rec_loss 0.0523, quant_error 0.4392,
Train Epoch: [1/5] Iters:[1890/20018] transplant_loss 2.7954, rec_loss 0.0520, quant_error 0.4384,
Train Epoch: [1/5] Iters:[1900/20018] transplant_loss 2.8053, rec_loss 0.0515, quant_error 0.4389,
Train Epoch: [1/5] Iters:[1910/20018] transplant_loss 2.8128, rec_loss 0.0518, quant_error 0.4391,
Train Epoch: [1/5] Iters:[1920/20018] transplant_loss 2.8153, rec_loss 0.0518, quant_error 0.4385,
Train Epoch: [1/5] Iters:[1930/20018] transplant_loss 2.8231, rec_loss 0.0520, quant_error 0.4386,
Train Epoch: [1/5] Iters:[1940/20018] transplant_loss 2.8259, rec_loss 0.0522, quant_error 0.4378,
