Train Epoch: [1/30] Iters:[380/1093] gen_loss -0.3961, rec_loss 0.0119, lpips_loss 0.1475, g_loss -0.1412, disc_weight 0.4000, disc_adaptive_weight 3.9334, d_loss 0.5159, logits_real 0.1358, logits_fake 0.1413,
Train Epoch: [1/30] Iters:[390/1093] gen_loss -0.4131, rec_loss 0.0118, lpips_loss 0.1466, g_loss -0.1404, disc_weight 0.4000, disc_adaptive_weight 4.0708, d_loss 0.5119, logits_real 0.1350, logits_fake 0.1406,
Train Epoch: [1/30] Iters:[400/1093] gen_loss -0.4404, rec_loss 0.0119, lpips_loss 0.1471, g_loss -0.1395, disc_weight 0.4000, disc_adaptive_weight 4.3025, d_loss 0.5084, logits_real 0.1338, logits_fake 0.1398,
Train Epoch: [1/30] Iters:[410/1093] gen_loss -0.4374, rec_loss 0.0119, lpips_loss 0.1475, g_loss -0.1387, disc_weight 0.4000, disc_adaptive_weight 4.3112, d_loss 0.5046, logits_real 0.1328, logits_fake 0.1386,
Train Epoch: [1/30] Iters:[420/1093] gen_loss -0.4638, rec_loss 0.0119, lpips_loss 0.1485, g_loss -0.1373, disc_weight 0.4000, disc_adaptive_weight 4.5512, d_loss 0.5006, logits_real 0.1318, logits_fake 0.1373,
Train Epoch: [1/30] Iters:[430/1093] gen_loss -0.4893, rec_loss 0.0121, lpips_loss 0.1491, g_loss -0.1360, disc_weight 0.4000, disc_adaptive_weight 4.7859, d_loss 0.4974, logits_real 0.1308, logits_fake 0.1361,
Train Epoch: [1/30] Iters:[440/1093] gen_loss -0.4923, rec_loss 0.0123, lpips_loss 0.1505, g_loss -0.1351, disc_weight 0.4000, disc_adaptive_weight 4.8530, d_loss 0.4942, logits_real 0.1299, logits_fake 0.1350,
Train Epoch: [1/30] Iters:[450/1093] gen_loss -0.4493, rec_loss 0.0122, lpips_loss 0.1501, g_loss -0.1343, disc_weight 0.4000, disc_adaptive_weight 4.5563, d_loss 0.4910, logits_real 0.1293, logits_fake 0.1341,
Train Epoch: [1/30] Iters:[460/1093] gen_loss -0.4518, rec_loss 0.0122, lpips_loss 0.1497, g_loss -0.1336, disc_weight 0.4000, disc_adaptive_weight 4.5929, d_loss 0.4880, logits_real 0.1286, logits_fake 0.1336,
Train Epoch: [1/30] Iters:[470/1093] gen_loss -0.4221, rec_loss 0.0122, lpips_loss 0.1492, g_loss -0.1332, disc_weight 0.4000, disc_adaptive_weight 4.3798, d_loss 0.4852, logits_real 0.1282, logits_fake 0.1333,
Train Epoch: [1/30] Iters:[480/1093] gen_loss -0.4414, rec_loss 0.0120, lpips_loss 0.1491, g_loss -0.1328, disc_weight 0.4000, disc_adaptive_weight 4.5403, d_loss 0.4824, logits_real 0.1277, logits_fake 0.1326,
Train Epoch: [1/30] Iters:[490/1093] gen_loss -0.4275, rec_loss 0.0120, lpips_loss 0.1485, g_loss -0.1324, disc_weight 0.4000, disc_adaptive_weight 4.4440, d_loss 0.4797, logits_real 0.1270, logits_fake 0.1322,
Train Epoch: [1/30] Iters:[500/1093] gen_loss -0.4780, rec_loss 0.0122, lpips_loss 0.1498, g_loss -0.1318, disc_weight 0.4000, disc_adaptive_weight 4.8610, d_loss 0.4773, logits_real 0.1263, logits_fake 0.1315,
Train Epoch: [1/30] Iters:[510/1093] gen_loss -0.4647, rec_loss 0.0123, lpips_loss 0.1501, g_loss -0.1313, disc_weight 0.4000, disc_adaptive_weight 4.7780, d_loss 0.4749, logits_real 0.1257, logits_fake 0.1311,
Train Epoch: [1/30] Iters:[520/1093] gen_loss -0.4685, rec_loss 0.0123, lpips_loss 0.1494, g_loss -0.1305, disc_weight 0.4000, disc_adaptive_weight 4.8236, d_loss 0.4724, logits_real 0.1251, logits_fake 0.1305,
Train Epoch: [1/30] Iters:[530/1093] gen_loss -0.4170, rec_loss 0.0123, lpips_loss 0.1491, g_loss -0.1297, disc_weight 0.4000, disc_adaptive_weight 4.4571, d_loss 0.4700, logits_real 0.1244, logits_fake 0.1297,
Train Epoch: [1/30] Iters:[540/1093] gen_loss -0.4076, rec_loss 0.0122, lpips_loss 0.1492, g_loss -0.1288, disc_weight 0.4000, disc_adaptive_weight 4.4129, d_loss 0.4678, logits_real 0.1237, logits_fake 0.1289,
Train Epoch: [1/30] Iters:[550/1093] gen_loss -0.3513, rec_loss 0.0118, lpips_loss 0.1473, g_loss -0.1281, disc_weight 0.4000, disc_adaptive_weight 3.9861, d_loss 0.4653, logits_real 0.1231, logits_fake 0.1282,
Train Epoch: [1/30] Iters:[560/1093] gen_loss -0.3367, rec_loss 0.0118, lpips_loss 0.1470, g_loss -0.1274, disc_weight 0.4000, disc_adaptive_weight 3.8920, d_loss 0.4632, logits_real 0.1223, logits_fake 0.1271,
Train Epoch: [1/30] Iters:[570/1093] gen_loss -0.3227, rec_loss 0.0119, lpips_loss 0.1475, g_loss -0.1265, disc_weight 0.4000, disc_adaptive_weight 3.8113, d_loss 0.4615, logits_real 0.1215, logits_fake 0.1263,
Train Epoch: [1/30] Iters:[580/1093] gen_loss -0.3305, rec_loss 0.0117, lpips_loss 0.1466, g_loss -0.1260, disc_weight 0.4000, disc_adaptive_weight 3.8803, d_loss 0.4595, logits_real 0.1210, logits_fake 0.1257,
Train Epoch: [1/30] Iters:[590/1093] gen_loss -0.3234, rec_loss 0.0117, lpips_loss 0.1460, g_loss -0.1254, disc_weight 0.4000, disc_adaptive_weight 3.8407, d_loss 0.4577, logits_real 0.1205, logits_fake 0.1253,
Train Epoch: [1/30] Iters:[600/1093] gen_loss -0.3414, rec_loss 0.0118, lpips_loss 0.1466, g_loss -0.1244, disc_weight 0.4000, disc_adaptive_weight 4.0214, d_loss 0.4562, logits_real 0.1198, logits_fake 0.1245,
