Train Epoch: [1/5] Iters:[360/20018] gen_loss -0.0073, rec_loss 0.0246, lpips_loss 0.2080, g_loss -0.0934, disc_weight 0.4000, disc_adaptive_weight 2.5713, d_loss 0.5456, logits_real 0.0934, logits_fake 0.0936,
Train Epoch: [1/5] Iters:[370/20018] gen_loss -0.0179, rec_loss 0.0238, lpips_loss 0.2062, g_loss -0.0932, disc_weight 0.4000, disc_adaptive_weight 2.6606, d_loss 0.5406, logits_real 0.0931, logits_fake 0.0934,
Train Epoch: [1/5] Iters:[380/20018] gen_loss -0.0244, rec_loss 0.0241, lpips_loss 0.2052, g_loss -0.0929, disc_weight 0.4000, disc_adaptive_weight 2.7343, d_loss 0.5365, logits_real 0.0926, logits_fake 0.0931,
Train Epoch: [1/5] Iters:[390/20018] gen_loss -0.0221, rec_loss 0.0244, lpips_loss 0.2066, g_loss -0.0929, disc_weight 0.4000, disc_adaptive_weight 2.7291, d_loss 0.5337, logits_real 0.0924, logits_fake 0.0929,
Train Epoch: [1/5] Iters:[400/20018] gen_loss -0.0027, rec_loss 0.0244, lpips_loss 0.2044, g_loss -0.0933, disc_weight 0.4000, disc_adaptive_weight 2.4866, d_loss 0.5307, logits_real 0.0926, logits_fake 0.0934,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.0138, rec_loss 0.0243, lpips_loss 0.2039, g_loss -0.0930, disc_weight 0.4000, disc_adaptive_weight 2.3064, d_loss 0.5271, logits_real 0.0922, logits_fake 0.0930,
Train Epoch: [1/5] Iters:[420/20018] gen_loss -0.0044, rec_loss 0.0241, lpips_loss 0.2040, g_loss -0.0926, disc_weight 0.4000, disc_adaptive_weight 2.5167, d_loss 0.5240, logits_real 0.0918, logits_fake 0.0925,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.0054, rec_loss 0.0235, lpips_loss 0.2036, g_loss -0.0923, disc_weight 0.4000, disc_adaptive_weight 2.4079, d_loss 0.5210, logits_real 0.0918, logits_fake 0.0920,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.0015, rec_loss 0.0237, lpips_loss 0.2039, g_loss -0.0918, disc_weight 0.4000, disc_adaptive_weight 2.4656, d_loss 0.5178, logits_real 0.0914, logits_fake 0.0915,
Train Epoch: [1/5] Iters:[450/20018] gen_loss -0.0105, rec_loss 0.0237, lpips_loss 0.2053, g_loss -0.0912, disc_weight 0.4000, disc_adaptive_weight 2.6273, d_loss 0.5146, logits_real 0.0908, logits_fake 0.0908,
Train Epoch: [1/5] Iters:[460/20018] gen_loss -0.0076, rec_loss 0.0239, lpips_loss 0.2048, g_loss -0.0909, disc_weight 0.4000, disc_adaptive_weight 2.6001, d_loss 0.5117, logits_real 0.0907, logits_fake 0.0905,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.0058, rec_loss 0.0241, lpips_loss 0.2064, g_loss -0.0906, disc_weight 0.4000, disc_adaptive_weight 2.4797, d_loss 0.5089, logits_real 0.0905, logits_fake 0.0904,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.0142, rec_loss 0.0240, lpips_loss 0.2066, g_loss -0.0904, disc_weight 0.4000, disc_adaptive_weight 2.3942, d_loss 0.5058, logits_real 0.0903, logits_fake 0.0902,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.0125, rec_loss 0.0236, lpips_loss 0.2055, g_loss -0.0902, disc_weight 0.4000, disc_adaptive_weight 2.4033, d_loss 0.5025, logits_real 0.0902, logits_fake 0.0899,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.0193, rec_loss 0.0237, lpips_loss 0.2052, g_loss -0.0897, disc_weight 0.4000, disc_adaptive_weight 2.3381, d_loss 0.4997, logits_real 0.0901, logits_fake 0.0896,
Train Epoch: [1/5] Iters:[510/20018] gen_loss -0.0096, rec_loss 0.0238, lpips_loss 0.2055, g_loss -0.0894, disc_weight 0.4000, disc_adaptive_weight 2.6751, d_loss 0.4973, logits_real 0.0899, logits_fake 0.0894,
Train Epoch: [1/5] Iters:[520/20018] gen_loss -0.0025, rec_loss 0.0238, lpips_loss 0.2039, g_loss -0.0894, disc_weight 0.4000, disc_adaptive_weight 2.5783, d_loss 0.4949, logits_real 0.0899, logits_fake 0.0894,
Train Epoch: [1/5] Iters:[530/20018] gen_loss -0.0051, rec_loss 0.0241, lpips_loss 0.2043, g_loss -0.0891, disc_weight 0.4000, disc_adaptive_weight 2.6231, d_loss 0.4926, logits_real 0.0896, logits_fake 0.0893,
Train Epoch: [1/5] Iters:[540/20018] gen_loss -0.0012, rec_loss 0.0246, lpips_loss 0.2048, g_loss -0.0890, disc_weight 0.4000, disc_adaptive_weight 2.5914, d_loss 0.4910, logits_real 0.0894, logits_fake 0.0893,
Train Epoch: [1/5] Iters:[550/20018] gen_loss -0.0121, rec_loss 0.0247, lpips_loss 0.2055, g_loss -0.0888, disc_weight 0.4000, disc_adaptive_weight 2.7324, d_loss 0.4892, logits_real 0.0892, logits_fake 0.0891,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.0109, rec_loss 0.0245, lpips_loss 0.2063, g_loss -0.0887, disc_weight 0.4000, disc_adaptive_weight 2.4875, d_loss 0.4867, logits_real 0.0888, logits_fake 0.0888,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.0027, rec_loss 0.0246, lpips_loss 0.2070, g_loss -0.0882, disc_weight 0.4000, disc_adaptive_weight 2.6009, d_loss 0.4838, logits_real 0.0884, logits_fake 0.0883,
Train Epoch: [1/5] Iters:[580/20018] gen_loss -0.0046, rec_loss 0.0242, lpips_loss 0.2059, g_loss -0.0878, disc_weight 0.4000, disc_adaptive_weight 2.6778, d_loss 0.4820, logits_real 0.0879, logits_fake 0.0879,
Train Epoch: [1/5] Iters:[590/20018] gen_loss -0.0042, rec_loss 0.0241, lpips_loss 0.2064, g_loss -0.0873, disc_weight 0.4000, disc_adaptive_weight 2.6909, d_loss 0.4798, logits_real 0.0874, logits_fake 0.0875,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.0046, rec_loss 0.0237, lpips_loss 0.2061, g_loss -0.0871, disc_weight 0.4000, disc_adaptive_weight 2.5882, d_loss 0.4773, logits_real 0.0870, logits_fake 0.0871,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.0048, rec_loss 0.0239, lpips_loss 0.2053, g_loss -0.0870, disc_weight 0.4000, disc_adaptive_weight 2.5852, d_loss 0.4759, logits_real 0.0868, logits_fake 0.0868,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.0075, rec_loss 0.0240, lpips_loss 0.2047, g_loss -0.0869, disc_weight 0.4000, disc_adaptive_weight 2.5494, d_loss 0.4743, logits_real 0.0866, logits_fake 0.0866,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.0073, rec_loss 0.0239, lpips_loss 0.2042, g_loss -0.0869, disc_weight 0.4000, disc_adaptive_weight 2.5448, d_loss 0.4718, logits_real 0.0867, logits_fake 0.0866,
Train Epoch: [1/5] Iters:[640/20018] gen_loss -0.0018, rec_loss 0.0237, lpips_loss 0.2035, g_loss -0.0866, disc_weight 0.4000, disc_adaptive_weight 2.6503, d_loss 0.4698, logits_real 0.0865, logits_fake 0.0863,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.0056, rec_loss 0.0238, lpips_loss 0.2032, g_loss -0.0864, disc_weight 0.4000, disc_adaptive_weight 2.5670, d_loss 0.4683, logits_real 0.0861, logits_fake 0.0862,
Train Epoch: [1/5] Iters:[660/20018] gen_loss -0.0007, rec_loss 0.0237, lpips_loss 0.2032, g_loss -0.0861, disc_weight 0.4000, disc_adaptive_weight 2.6493, d_loss 0.4661, logits_real 0.0858, logits_fake 0.0860,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.0107, rec_loss 0.0234, lpips_loss 0.2040, g_loss -0.0854, disc_weight 0.4000, disc_adaptive_weight 2.5402, d_loss 0.4649, logits_real 0.0854, logits_fake 0.0854,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.0199, rec_loss 0.0235, lpips_loss 0.2043, g_loss -0.0848, disc_weight 0.4000, disc_adaptive_weight 2.4540, d_loss 0.4638, logits_real 0.0848, logits_fake 0.0847,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.0237, rec_loss 0.0235, lpips_loss 0.2045, g_loss -0.0843, disc_weight 0.4000, disc_adaptive_weight 2.4261, d_loss 0.4624, logits_real 0.0843, logits_fake 0.0843,
