Train Epoch: [1/5] Iters:[590/10009] transplant_loss 7.9541, rec_loss 0.0598, quant_error 0.6237,
Train Epoch: [1/5] Iters:[600/10009] transplant_loss 7.9014, rec_loss 0.0601, quant_error 0.6197,
Train Epoch: [1/5] Iters:[610/10009] transplant_loss 7.8448, rec_loss 0.0596, quant_error 0.6149,
Train Epoch: [1/5] Iters:[620/10009] transplant_loss 7.7662, rec_loss 0.0598, quant_error 0.6091,
Train Epoch: [1/5] Iters:[630/10009] transplant_loss 7.6995, rec_loss 0.0594, quant_error 0.6040,
Train Epoch: [1/5] Iters:[640/10009] transplant_loss 7.6765, rec_loss 0.0599, quant_error 0.6021,
Train Epoch: [1/5] Iters:[650/10009] transplant_loss 7.6378, rec_loss 0.0596, quant_error 0.5988,
Train Epoch: [1/5] Iters:[660/10009] transplant_loss 7.5900, rec_loss 0.0601, quant_error 0.5952,
Train Epoch: [1/5] Iters:[670/10009] transplant_loss 7.5061, rec_loss 0.0587, quant_error 0.5886,
Train Epoch: [1/5] Iters:[680/10009] transplant_loss 7.4369, rec_loss 0.0581, quant_error 0.5832,
Train Epoch: [1/5] Iters:[690/10009] transplant_loss 7.4163, rec_loss 0.0580, quant_error 0.5812,
Train Epoch: [1/5] Iters:[700/10009] transplant_loss 7.3774, rec_loss 0.0577, quant_error 0.5782,
Train Epoch: [1/5] Iters:[710/10009] transplant_loss 7.3087, rec_loss 0.0572, quant_error 0.5730,
Train Epoch: [1/5] Iters:[720/10009] transplant_loss 7.2851, rec_loss 0.0571, quant_error 0.5711,
Train Epoch: [1/5] Iters:[730/10009] transplant_loss 7.2678, rec_loss 0.0568, quant_error 0.5697,
Train Epoch: [1/5] Iters:[740/10009] transplant_loss 7.2152, rec_loss 0.0564, quant_error 0.5653,
Train Epoch: [1/5] Iters:[750/10009] transplant_loss 7.1957, rec_loss 0.0556, quant_error 0.5632,
Train Epoch: [1/5] Iters:[760/10009] transplant_loss 7.1729, rec_loss 0.0560, quant_error 0.5611,
Train Epoch: [1/5] Iters:[770/10009] transplant_loss 7.1298, rec_loss 0.0566, quant_error 0.5577,
Train Epoch: [1/5] Iters:[780/10009] transplant_loss 7.0743, rec_loss 0.0571, quant_error 0.5534,
Train Epoch: [1/5] Iters:[790/10009] transplant_loss 7.0128, rec_loss 0.0570, quant_error 0.5487,
Train Epoch: [1/5] Iters:[800/10009] transplant_loss 6.9607, rec_loss 0.0576, quant_error 0.5447,
Train Epoch: [1/5] Iters:[810/10009] transplant_loss 6.9436, rec_loss 0.0576, quant_error 0.5431,
Train Epoch: [1/5] Iters:[820/10009] transplant_loss 6.9230, rec_loss 0.0571, quant_error 0.5410,
Train Epoch: [1/5] Iters:[830/10009] transplant_loss 6.8902, rec_loss 0.0564, quant_error 0.5381,
Train Epoch: [1/5] Iters:[840/10009] transplant_loss 6.8909, rec_loss 0.0567, quant_error 0.5377,
Train Epoch: [1/5] Iters:[850/10009] transplant_loss 6.8626, rec_loss 0.0562, quant_error 0.5355,
Train Epoch: [1/5] Iters:[860/10009] transplant_loss 6.8248, rec_loss 0.0553, quant_error 0.5325,
Train Epoch: [1/5] Iters:[870/10009] transplant_loss 6.8041, rec_loss 0.0555, quant_error 0.5308,
Train Epoch: [1/5] Iters:[880/10009] transplant_loss 6.8106, rec_loss 0.0556, quant_error 0.5310,
Train Epoch: [1/5] Iters:[890/10009] transplant_loss 6.7758, rec_loss 0.0551, quant_error 0.5282,
Train Epoch: [1/5] Iters:[900/10009] transplant_loss 6.7427, rec_loss 0.0551, quant_error 0.5252,
Train Epoch: [1/5] Iters:[910/10009] transplant_loss 6.7093, rec_loss 0.0549, quant_error 0.5222,
Train Epoch: [1/5] Iters:[920/10009] transplant_loss 6.6819, rec_loss 0.0553, quant_error 0.5198,
Train Epoch: [1/5] Iters:[930/10009] transplant_loss 6.6604, rec_loss 0.0553, quant_error 0.5177,
Train Epoch: [1/5] Iters:[940/10009] transplant_loss 6.6292, rec_loss 0.0556, quant_error 0.5150,
Train Epoch: [1/5] Iters:[950/10009] transplant_loss 6.6275, rec_loss 0.0555, quant_error 0.5145,
Train Epoch: [1/5] Iters:[960/10009] transplant_loss 6.6309, rec_loss 0.0560, quant_error 0.5146,
Train Epoch: [1/5] Iters:[970/10009] transplant_loss 6.6164, rec_loss 0.0554, quant_error 0.5131,
Train Epoch: [1/5] Iters:[980/10009] transplant_loss 6.5815, rec_loss 0.0552, quant_error 0.5103,
Train Epoch: [1/5] Iters:[990/10009] transplant_loss 6.5758, rec_loss 0.0553, quant_error 0.5095,
