Train Epoch: [1/5] Iters:[720/10009] transplant_loss 221.0505, rec_loss 0.1014, quant_error 2.1146,
Train Epoch: [1/5] Iters:[730/10009] transplant_loss 223.4846, rec_loss 0.1012, quant_error 2.1199,
Train Epoch: [1/5] Iters:[740/10009] transplant_loss 226.0959, rec_loss 0.1007, quant_error 2.1152,
Train Epoch: [1/5] Iters:[750/10009] transplant_loss 229.1619, rec_loss 0.1001, quant_error 2.1171,
Train Epoch: [1/5] Iters:[760/10009] transplant_loss 232.5614, rec_loss 0.1004, quant_error 2.1182,
Train Epoch: [1/5] Iters:[770/10009] transplant_loss 235.0608, rec_loss 0.1013, quant_error 2.1149,
Train Epoch: [1/5] Iters:[780/10009] transplant_loss 237.4337, rec_loss 0.1016, quant_error 2.1089,
Train Epoch: [1/5] Iters:[790/10009] transplant_loss 238.7146, rec_loss 0.1015, quant_error 2.0996,
Train Epoch: [1/5] Iters:[800/10009] transplant_loss 240.3555, rec_loss 0.1018, quant_error 2.0950,
Train Epoch: [1/5] Iters:[810/10009] transplant_loss 244.2293, rec_loss 0.1019, quant_error 2.0977,
Train Epoch: [1/5] Iters:[820/10009] transplant_loss 246.9595, rec_loss 0.1013, quant_error 2.0979,
Train Epoch: [1/5] Iters:[830/10009] transplant_loss 250.6973, rec_loss 0.1009, quant_error 2.0953,
Train Epoch: [1/5] Iters:[840/10009] transplant_loss 255.5688, rec_loss 0.1015, quant_error 2.1029,
Train Epoch: [1/5] Iters:[850/10009] transplant_loss 257.5640, rec_loss 0.1011, quant_error 2.0998,
Train Epoch: [1/5] Iters:[860/10009] transplant_loss 259.0557, rec_loss 0.1001, quant_error 2.0966,
Train Epoch: [1/5] Iters:[870/10009] transplant_loss 262.0944, rec_loss 0.1005, quant_error 2.0998,
Train Epoch: [1/5] Iters:[880/10009] transplant_loss 264.4258, rec_loss 0.1006, quant_error 2.1085,
Train Epoch: [1/5] Iters:[890/10009] transplant_loss 264.3753, rec_loss 0.1001, quant_error 2.1056,
Train Epoch: [1/5] Iters:[900/10009] transplant_loss 268.4620, rec_loss 0.1000, quant_error 2.1029,
Train Epoch: [1/5] Iters:[910/10009] transplant_loss 269.5808, rec_loss 0.1000, quant_error 2.0984,
Train Epoch: [1/5] Iters:[920/10009] transplant_loss 274.7012, rec_loss 0.1003, quant_error 2.0958,
Train Epoch: [1/5] Iters:[930/10009] transplant_loss 278.5608, rec_loss 0.1004, quant_error 2.0939,
Train Epoch: [1/5] Iters:[940/10009] transplant_loss 283.7546, rec_loss 0.1006, quant_error 2.0892,
Train Epoch: [1/5] Iters:[950/10009] transplant_loss 284.3415, rec_loss 0.1005, quant_error 2.0916,
Train Epoch: [1/5] Iters:[960/10009] transplant_loss 289.2914, rec_loss 0.1011, quant_error 2.0966,
Train Epoch: [1/5] Iters:[970/10009] transplant_loss 290.8525, rec_loss 0.1007, quant_error 2.0967,
Train Epoch: [1/5] Iters:[980/10009] transplant_loss 290.3087, rec_loss 0.1003, quant_error 2.0905,
Train Epoch: [1/5] Iters:[990/10009] transplant_loss 291.4772, rec_loss 0.1002, quant_error 2.0931,
Train Epoch: [1/5] Iters:[1000/10009] transplant_loss 297.8329, rec_loss 0.1016, quant_error 2.1033,
Train Epoch: [1/5] Iters:[1010/10009] transplant_loss 299.6800, rec_loss 0.1016, quant_error 2.1028,
Train Epoch: [1/5] Iters:[1020/10009] transplant_loss 302.1591, rec_loss 0.1017, quant_error 2.1024,
Train Epoch: [1/5] Iters:[1030/10009] transplant_loss 305.3143, rec_loss 0.1018, quant_error 2.1022,
Train Epoch: [1/5] Iters:[1040/10009] transplant_loss 307.5346, rec_loss 0.1017, quant_error 2.1045,
Train Epoch: [1/5] Iters:[1050/10009] transplant_loss 308.3742, rec_loss 0.1012, quant_error 2.0977,
Train Epoch: [1/5] Iters:[1060/10009] transplant_loss 313.5308, rec_loss 0.1013, quant_error 2.0971,
Train Epoch: [1/5] Iters:[1070/10009] transplant_loss 313.4153, rec_loss 0.1007, quant_error 2.0969,
Train Epoch: [1/5] Iters:[1080/10009] transplant_loss 320.3150, rec_loss 0.1015, quant_error 2.1034,
Train Epoch: [1/5] Iters:[1090/10009] transplant_loss 326.5359, rec_loss 0.1014, quant_error 2.1026,
Train Epoch: [1/5] Iters:[1100/10009] transplant_loss 329.7686, rec_loss 0.1010, quant_error 2.1007,
Train Epoch: [1/5] Iters:[1110/10009] transplant_loss 331.4676, rec_loss 0.1004, quant_error 2.1049,
Train Epoch: [1/5] Iters:[1120/10009] transplant_loss 338.0791, rec_loss 0.1004, quant_error 2.0961,
Train Epoch: [1/5] Iters:[1130/10009] transplant_loss 338.5852, rec_loss 0.0998, quant_error 2.0920,
Train Epoch: [1/5] Iters:[1140/10009] transplant_loss 339.2022, rec_loss 0.0994, quant_error 2.0879,
Train Epoch: [1/5] Iters:[1150/10009] transplant_loss 343.9706, rec_loss 0.0994, quant_error 2.0854,
Train Epoch: [1/5] Iters:[1160/10009] transplant_loss 348.6819, rec_loss 0.0992, quant_error 2.0810,
Train Epoch: [1/5] Iters:[1170/10009] transplant_loss 352.1669, rec_loss 0.0987, quant_error 2.0823,
Train Epoch: [1/5] Iters:[1180/10009] transplant_loss 353.4774, rec_loss 0.0983, quant_error 2.0781,
Train Epoch: [1/5] Iters:[1190/10009] transplant_loss 356.5044, rec_loss 0.0988, quant_error 2.0725,
Train Epoch: [1/5] Iters:[1200/10009] transplant_loss 358.2778, rec_loss 0.0983, quant_error 2.0678,
Train Epoch: [1/5] Iters:[1210/10009] transplant_loss 359.9516, rec_loss 0.0989, quant_error 2.0683,
Train Epoch: [1/5] Iters:[1220/10009] transplant_loss 360.5545, rec_loss 0.0996, quant_error 2.0688,
Train Epoch: [1/5] Iters:[1230/10009] transplant_loss 364.2279, rec_loss 0.0996, quant_error 2.0723,
Train Epoch: [1/5] Iters:[1240/10009] transplant_loss 365.8255, rec_loss 0.0996, quant_error 2.0736,
Train Epoch: [1/5] Iters:[1250/10009] transplant_loss 369.7438, rec_loss 0.0999, quant_error 2.0797,
Train Epoch: [1/5] Iters:[1260/10009] transplant_loss 370.7488, rec_loss 0.0998, quant_error 2.0790,
Train Epoch: [1/5] Iters:[1270/10009] transplant_loss 371.5106, rec_loss 0.0997, quant_error 2.0805,
Train Epoch: [1/5] Iters:[1280/10009] transplant_loss 375.6037, rec_loss 0.1000, quant_error 2.0759,
Train Epoch: [1/5] Iters:[1290/10009] transplant_loss 381.4698, rec_loss 0.0989, quant_error 2.0740,
Train Epoch: [1/5] Iters:[1300/10009] transplant_loss 382.8725, rec_loss 0.0986, quant_error 2.0742,
Train Epoch: [1/5] Iters:[1310/10009] transplant_loss 388.4474, rec_loss 0.0978, quant_error 2.0703,
Train Epoch: [1/5] Iters:[1320/10009] transplant_loss 393.8196, rec_loss 0.0977, quant_error 2.0725,
Train Epoch: [1/5] Iters:[1330/10009] transplant_loss 394.3772, rec_loss 0.0975, quant_error 2.0761,
Train Epoch: [1/5] Iters:[1340/10009] transplant_loss 394.8620, rec_loss 0.0980, quant_error 2.0800,
