Train Epoch: [1/2] Iters:[490/20018] transplant_loss 5.5236, rec_loss 0.0563, quant_error 0.9758, utilization 0.0905, perplexity 3757.7179,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 5.5249, rec_loss 0.0569, quant_error 0.9749, utilization 0.0906, perplexity 3762.5535,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 5.5591, rec_loss 0.0572, quant_error 0.9787, utilization 0.0906, perplexity 3757.0645,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 5.5363, rec_loss 0.0571, quant_error 0.9734, utilization 0.0906, perplexity 3761.0532,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 5.5161, rec_loss 0.0571, quant_error 0.9699, utilization 0.0907, perplexity 3762.9760,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 5.5171, rec_loss 0.0585, quant_error 0.9716, utilization 0.0910, perplexity 3789.7602,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 5.5051, rec_loss 0.0582, quant_error 0.9666, utilization 0.0913, perplexity 3811.7343,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 5.4404, rec_loss 0.0574, quant_error 0.9564, utilization 0.0912, perplexity 3814.0840,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 5.4329, rec_loss 0.0574, quant_error 0.9547, utilization 0.0914, perplexity 3828.0880,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 5.4434, rec_loss 0.0570, quant_error 0.9581, utilization 0.0916, perplexity 3832.9941,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 5.4382, rec_loss 0.0566, quant_error 0.9523, utilization 0.0917, perplexity 3845.4155,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 5.4301, rec_loss 0.0560, quant_error 0.9496, utilization 0.0917, perplexity 3844.7181,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 5.4500, rec_loss 0.0564, quant_error 0.9512, utilization 0.0918, perplexity 3844.7427,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 5.4463, rec_loss 0.0562, quant_error 0.9507, utilization 0.0920, perplexity 3859.6653,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 5.4338, rec_loss 0.0562, quant_error 0.9476, utilization 0.0920, perplexity 3855.3593,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 5.4124, rec_loss 0.0553, quant_error 0.9444, utilization 0.0919, perplexity 3841.7023,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 5.4233, rec_loss 0.0556, quant_error 0.9443, utilization 0.0921, perplexity 3857.5572,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 5.4064, rec_loss 0.0546, quant_error 0.9383, utilization 0.0921, perplexity 3869.4041,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 5.4048, rec_loss 0.0545, quant_error 0.9409, utilization 0.0921, perplexity 3870.0742,
Train Epoch: [1/2] Iters:[680/20018] transplant_loss 5.4043, rec_loss 0.0546, quant_error 0.9390, utilization 0.0921, perplexity 3870.6048,
