Train Epoch: [1/2] Iters:[490/20018] transplant_loss 2.3444, rec_loss 0.0472, quant_error 0.6138, utilization 0.2004, perplexity 11575.2839,
Train Epoch: [1/2] Iters:[500/20018] transplant_loss 2.3348, rec_loss 0.0475, quant_error 0.6107, utilization 0.2006, perplexity 11571.6040,
Train Epoch: [1/2] Iters:[510/20018] transplant_loss 2.3502, rec_loss 0.0479, quant_error 0.6141, utilization 0.2008, perplexity 11607.1820,
Train Epoch: [1/2] Iters:[520/20018] transplant_loss 2.3400, rec_loss 0.0479, quant_error 0.6095, utilization 0.2007, perplexity 11602.9725,
Train Epoch: [1/2] Iters:[530/20018] transplant_loss 2.3358, rec_loss 0.0482, quant_error 0.6077, utilization 0.2008, perplexity 11603.3602,
Train Epoch: [1/2] Iters:[540/20018] transplant_loss 2.3418, rec_loss 0.0491, quant_error 0.6091, utilization 0.2012, perplexity 11654.4912,
Train Epoch: [1/2] Iters:[550/20018] transplant_loss 2.3373, rec_loss 0.0488, quant_error 0.6075, utilization 0.2014, perplexity 11698.7700,
Train Epoch: [1/2] Iters:[560/20018] transplant_loss 2.3271, rec_loss 0.0485, quant_error 0.6048, utilization 0.2015, perplexity 11707.5423,
Train Epoch: [1/2] Iters:[570/20018] transplant_loss 2.3273, rec_loss 0.0488, quant_error 0.6067, utilization 0.2016, perplexity 11688.7443,
Train Epoch: [1/2] Iters:[580/20018] transplant_loss 2.3303, rec_loss 0.0480, quant_error 0.6089, utilization 0.2013, perplexity 11640.4908,
Train Epoch: [1/2] Iters:[590/20018] transplant_loss 2.3235, rec_loss 0.0482, quant_error 0.6057, utilization 0.2014, perplexity 11641.2196,
Train Epoch: [1/2] Iters:[600/20018] transplant_loss 2.3239, rec_loss 0.0480, quant_error 0.6055, utilization 0.2017, perplexity 11677.8588,
Train Epoch: [1/2] Iters:[610/20018] transplant_loss 2.3238, rec_loss 0.0481, quant_error 0.6049, utilization 0.2015, perplexity 11674.6574,
Train Epoch: [1/2] Iters:[620/20018] transplant_loss 2.3202, rec_loss 0.0480, quant_error 0.6032, utilization 0.2017, perplexity 11710.0347,
Train Epoch: [1/2] Iters:[630/20018] transplant_loss 2.3174, rec_loss 0.0480, quant_error 0.6018, utilization 0.2016, perplexity 11689.8646,
Train Epoch: [1/2] Iters:[640/20018] transplant_loss 2.3149, rec_loss 0.0473, quant_error 0.6027, utilization 0.2017, perplexity 11726.6039,
Train Epoch: [1/2] Iters:[650/20018] transplant_loss 2.3239, rec_loss 0.0475, quant_error 0.6041, utilization 0.2017, perplexity 11743.2547,
Train Epoch: [1/2] Iters:[660/20018] transplant_loss 2.3176, rec_loss 0.0472, quant_error 0.6025, utilization 0.2019, perplexity 11759.2268,
Train Epoch: [1/2] Iters:[670/20018] transplant_loss 2.3253, rec_loss 0.0472, quant_error 0.6050, utilization 0.2022, perplexity 11802.8512,
