Train Epoch: [1/2] Iters:[700/40036] transplant_loss 38.8154, rec_loss 0.0828, quant_error 1.4779, utilization 0.0130, perplexity 44.7053,
Train Epoch: [1/2] Iters:[710/40036] transplant_loss 38.6915, rec_loss 0.0817, quant_error 1.4731, utilization 0.0130, perplexity 44.9096,
Train Epoch: [1/2] Iters:[720/40036] transplant_loss 38.0561, rec_loss 0.0810, quant_error 1.4688, utilization 0.0129, perplexity 44.9868,
Train Epoch: [1/2] Iters:[730/40036] transplant_loss 37.7647, rec_loss 0.0807, quant_error 1.4633, utilization 0.0129, perplexity 44.9482,
Train Epoch: [1/2] Iters:[740/40036] transplant_loss 37.4978, rec_loss 0.0825, quant_error 1.4648, utilization 0.0129, perplexity 44.9506,
Train Epoch: [1/2] Iters:[750/40036] transplant_loss 37.9231, rec_loss 0.0835, quant_error 1.4667, utilization 0.0129, perplexity 44.9514,
Train Epoch: [1/2] Iters:[760/40036] transplant_loss 38.0934, rec_loss 0.0846, quant_error 1.4642, utilization 0.0129, perplexity 45.0097,
Train Epoch: [1/2] Iters:[770/40036] transplant_loss 38.1543, rec_loss 0.0851, quant_error 1.4626, utilization 0.0129, perplexity 45.0611,
Train Epoch: [1/2] Iters:[780/40036] transplant_loss 37.8093, rec_loss 0.0850, quant_error 1.4596, utilization 0.0129, perplexity 45.2268,
Train Epoch: [1/2] Iters:[790/40036] transplant_loss 37.8437, rec_loss 0.0850, quant_error 1.4586, utilization 0.0129, perplexity 45.2782,
Train Epoch: [1/2] Iters:[800/40036] transplant_loss 37.2859, rec_loss 0.0840, quant_error 1.4576, utilization 0.0129, perplexity 45.3739,
Train Epoch: [1/2] Iters:[810/40036] transplant_loss 36.7751, rec_loss 0.0819, quant_error 1.4467, utilization 0.0129, perplexity 45.4392,
Train Epoch: [1/2] Iters:[820/40036] transplant_loss 36.6882, rec_loss 0.0819, quant_error 1.4373, utilization 0.0129, perplexity 45.4917,
Train Epoch: [1/2] Iters:[830/40036] transplant_loss 36.1827, rec_loss 0.0821, quant_error 1.4279, utilization 0.0129, perplexity 45.6359,
