Train Epoch: [1/5] Iters:[630/10009] transplant_loss 2.0937, rec_loss 0.0390, quant_error 0.2351,
Train Epoch: [1/5] Iters:[640/10009] transplant_loss 2.0930, rec_loss 0.0395, quant_error 0.2350,
Train Epoch: [1/5] Iters:[650/10009] transplant_loss 2.0916, rec_loss 0.0393, quant_error 0.2348,
Train Epoch: [1/5] Iters:[660/10009] transplant_loss 2.0892, rec_loss 0.0400, quant_error 0.2346,
Train Epoch: [1/5] Iters:[670/10009] transplant_loss 2.0861, rec_loss 0.0391, quant_error 0.2342,
Train Epoch: [1/5] Iters:[680/10009] transplant_loss 2.0821, rec_loss 0.0388, quant_error 0.2337,
Train Epoch: [1/5] Iters:[690/10009] transplant_loss 2.0843, rec_loss 0.0387, quant_error 0.2339,
Train Epoch: [1/5] Iters:[700/10009] transplant_loss 2.0879, rec_loss 0.0386, quant_error 0.2344,
Train Epoch: [1/5] Iters:[710/10009] transplant_loss 2.0859, rec_loss 0.0383, quant_error 0.2341,
Train Epoch: [1/5] Iters:[720/10009] transplant_loss 2.0829, rec_loss 0.0384, quant_error 0.2338,
Train Epoch: [1/5] Iters:[730/10009] transplant_loss 2.0825, rec_loss 0.0382, quant_error 0.2338,
Train Epoch: [1/5] Iters:[740/10009] transplant_loss 2.0781, rec_loss 0.0382, quant_error 0.2333,
Train Epoch: [1/5] Iters:[750/10009] transplant_loss 2.0737, rec_loss 0.0375, quant_error 0.2327,
Train Epoch: [1/5] Iters:[760/10009] transplant_loss 2.0735, rec_loss 0.0379, quant_error 0.2327,
Train Epoch: [1/5] Iters:[770/10009] transplant_loss 2.0738, rec_loss 0.0386, quant_error 0.2327,
Train Epoch: [1/5] Iters:[780/10009] transplant_loss 2.0721, rec_loss 0.0391, quant_error 0.2325,
Train Epoch: [1/5] Iters:[790/10009] transplant_loss 2.0669, rec_loss 0.0390, quant_error 0.2319,
Train Epoch: [1/5] Iters:[800/10009] transplant_loss 2.0616, rec_loss 0.0398, quant_error 0.2313,
Train Epoch: [1/5] Iters:[810/10009] transplant_loss 2.0567, rec_loss 0.0398, quant_error 0.2307,
Train Epoch: [1/5] Iters:[820/10009] transplant_loss 2.0508, rec_loss 0.0392, quant_error 0.2300,
Train Epoch: [1/5] Iters:[830/10009] transplant_loss 2.0453, rec_loss 0.0388, quant_error 0.2294,
Train Epoch: [1/5] Iters:[840/10009] transplant_loss 2.0455, rec_loss 0.0391, quant_error 0.2294,
