Train Epoch: [1/2] Iters:[620/10009] transplant_loss 7.2831, rec_loss 0.0538, quant_error 1.8701, utilization 0.7203, perplexity 9292.1713,
Train Epoch: [1/2] Iters:[630/10009] transplant_loss 7.2854, rec_loss 0.0536, quant_error 1.8687, utilization 0.7207, perplexity 9280.2781,
Train Epoch: [1/2] Iters:[640/10009] transplant_loss 7.2914, rec_loss 0.0541, quant_error 1.8685, utilization 0.7213, perplexity 9287.1430,
Train Epoch: [1/2] Iters:[650/10009] transplant_loss 7.2960, rec_loss 0.0541, quant_error 1.8682, utilization 0.7222, perplexity 9310.4960,
Train Epoch: [1/2] Iters:[660/10009] transplant_loss 7.3024, rec_loss 0.0546, quant_error 1.8705, utilization 0.7227, perplexity 9349.8213,
Train Epoch: [1/2] Iters:[670/10009] transplant_loss 7.2898, rec_loss 0.0533, quant_error 1.8666, utilization 0.7227, perplexity 9340.6621,
Train Epoch: [1/2] Iters:[680/10009] transplant_loss 7.2606, rec_loss 0.0530, quant_error 1.8583, utilization 0.7224, perplexity 9340.1290,
Train Epoch: [1/2] Iters:[690/10009] transplant_loss 7.2783, rec_loss 0.0530, quant_error 1.8634, utilization 0.7229, perplexity 9356.6946,
Train Epoch: [1/2] Iters:[700/10009] transplant_loss 7.2767, rec_loss 0.0530, quant_error 1.8643, utilization 0.7228, perplexity 9336.8606,
Train Epoch: [1/2] Iters:[710/10009] transplant_loss 7.2677, rec_loss 0.0529, quant_error 1.8615, utilization 0.7228, perplexity 9323.9285,
Train Epoch: [1/2] Iters:[720/10009] transplant_loss 7.2646, rec_loss 0.0532, quant_error 1.8618, utilization 0.7230, perplexity 9326.1469,
Train Epoch: [1/2] Iters:[730/10009] transplant_loss 7.2814, rec_loss 0.0529, quant_error 1.8663, utilization 0.7236, perplexity 9356.9021,
Train Epoch: [1/2] Iters:[740/10009] transplant_loss 7.2619, rec_loss 0.0528, quant_error 1.8605, utilization 0.7235, perplexity 9337.1820,
Train Epoch: [1/2] Iters:[750/10009] transplant_loss 7.2569, rec_loss 0.0523, quant_error 1.8584, utilization 0.7236, perplexity 9328.9170,
Train Epoch: [1/2] Iters:[760/10009] transplant_loss 7.2517, rec_loss 0.0525, quant_error 1.8564, utilization 0.7235, perplexity 9321.6731,
Train Epoch: [1/2] Iters:[770/10009] transplant_loss 7.2484, rec_loss 0.0530, quant_error 1.8564, utilization 0.7237, perplexity 9333.5434,
Train Epoch: [1/2] Iters:[780/10009] transplant_loss 7.2407, rec_loss 0.0536, quant_error 1.8542, utilization 0.7238, perplexity 9327.9146,
Train Epoch: [1/2] Iters:[790/10009] transplant_loss 7.2321, rec_loss 0.0536, quant_error 1.8525, utilization 0.7236, perplexity 9337.6086,
Train Epoch: [1/2] Iters:[800/10009] transplant_loss 7.2255, rec_loss 0.0542, quant_error 1.8516, utilization 0.7237, perplexity 9338.5245,
Train Epoch: [1/2] Iters:[810/10009] transplant_loss 7.2204, rec_loss 0.0542, quant_error 1.8512, utilization 0.7237, perplexity 9331.4048,
Train Epoch: [1/2] Iters:[820/10009] transplant_loss 7.2071, rec_loss 0.0537, quant_error 1.8478, utilization 0.7235, perplexity 9332.5697,
Train Epoch: [1/2] Iters:[830/10009] transplant_loss 7.1915, rec_loss 0.0531, quant_error 1.8437, utilization 0.7234, perplexity 9319.7759,
Train Epoch: [1/2] Iters:[840/10009] transplant_loss 7.2069, rec_loss 0.0535, quant_error 1.8478, utilization 0.7239, perplexity 9329.3626,
Train Epoch: [1/2] Iters:[850/10009] transplant_loss 7.2057, rec_loss 0.0531, quant_error 1.8472, utilization 0.7245, perplexity 9357.5513,
Train Epoch: [1/2] Iters:[860/10009] transplant_loss 7.1922, rec_loss 0.0526, quant_error 1.8434, utilization 0.7250, perplexity 9392.3284,
Train Epoch: [1/2] Iters:[870/10009] transplant_loss 7.2038, rec_loss 0.0530, quant_error 1.8439, utilization 0.7258, perplexity 9413.0870,
Train Epoch: [1/2] Iters:[880/10009] transplant_loss 7.2171, rec_loss 0.0530, quant_error 1.8471, utilization 0.7260, perplexity 9413.6229,
Train Epoch: [1/2] Iters:[890/10009] transplant_loss 7.2105, rec_loss 0.0528, quant_error 1.8453, utilization 0.7264, perplexity 9433.6997,
Train Epoch: [1/2] Iters:[900/10009] transplant_loss 7.2105, rec_loss 0.0528, quant_error 1.8443, utilization 0.7264, perplexity 9434.9381,
Train Epoch: [1/2] Iters:[910/10009] transplant_loss 7.2102, rec_loss 0.0528, quant_error 1.8442, utilization 0.7267, perplexity 9420.6738,
Train Epoch: [1/2] Iters:[920/10009] transplant_loss 7.1975, rec_loss 0.0529, quant_error 1.8416, utilization 0.7271, perplexity 9425.3049,
Train Epoch: [1/2] Iters:[930/10009] transplant_loss 7.1930, rec_loss 0.0531, quant_error 1.8409, utilization 0.7273, perplexity 9423.6477,
Train Epoch: [1/2] Iters:[940/10009] transplant_loss 7.1779, rec_loss 0.0534, quant_error 1.8363, utilization 0.7277, perplexity 9431.5080,
Train Epoch: [1/2] Iters:[950/10009] transplant_loss 7.1662, rec_loss 0.0533, quant_error 1.8330, utilization 0.7281, perplexity 9421.9019,
Train Epoch: [1/2] Iters:[960/10009] transplant_loss 7.1711, rec_loss 0.0535, quant_error 1.8330, utilization 0.7278, perplexity 9422.8478,
Train Epoch: [1/2] Iters:[970/10009] transplant_loss 7.1636, rec_loss 0.0533, quant_error 1.8317, utilization 0.7272, perplexity 9408.4618,
Train Epoch: [1/2] Iters:[980/10009] transplant_loss 7.1617, rec_loss 0.0531, quant_error 1.8317, utilization 0.7276, perplexity 9432.1027,
Train Epoch: [1/2] Iters:[990/10009] transplant_loss 7.1639, rec_loss 0.0531, quant_error 1.8336, utilization 0.7278, perplexity 9427.2480,
Train Epoch: [1/2] Iters:[1000/10009] transplant_loss 7.1866, rec_loss 0.0539, quant_error 1.8399, utilization 0.7280, perplexity 9446.6340,
Train Epoch: [1/2] Iters:[1010/10009] transplant_loss 7.1774, rec_loss 0.0538, quant_error 1.8376, utilization 0.7280, perplexity 9438.9190,
Train Epoch: [1/2] Iters:[1020/10009] transplant_loss 7.1741, rec_loss 0.0535, quant_error 1.8369, utilization 0.7280, perplexity 9432.9185,
Train Epoch: [1/2] Iters:[1030/10009] transplant_loss 7.1733, rec_loss 0.0536, quant_error 1.8361, utilization 0.7281, perplexity 9437.8446,
Train Epoch: [1/2] Iters:[1040/10009] transplant_loss 7.1587, rec_loss 0.0532, quant_error 1.8312, utilization 0.7277, perplexity 9433.0559,
Train Epoch: [1/2] Iters:[1050/10009] transplant_loss 7.1391, rec_loss 0.0532, quant_error 1.8260, utilization 0.7272, perplexity 9420.1579,
Train Epoch: [1/2] Iters:[1060/10009] transplant_loss 7.1432, rec_loss 0.0535, quant_error 1.8275, utilization 0.7278, perplexity 9437.7171,
Train Epoch: [1/2] Iters:[1070/10009] transplant_loss 7.1543, rec_loss 0.0536, quant_error 1.8295, utilization 0.7281, perplexity 9453.7078,
Train Epoch: [1/2] Iters:[1080/10009] transplant_loss 7.1464, rec_loss 0.0538, quant_error 1.8280, utilization 0.7275, perplexity 9432.5753,
Train Epoch: [1/2] Iters:[1090/10009] transplant_loss 7.1437, rec_loss 0.0538, quant_error 1.8273, utilization 0.7277, perplexity 9440.6061,
Train Epoch: [1/2] Iters:[1100/10009] transplant_loss 7.1424, rec_loss 0.0533, quant_error 1.8280, utilization 0.7277, perplexity 9440.4642,
Train Epoch: [1/2] Iters:[1110/10009] transplant_loss 7.1393, rec_loss 0.0522, quant_error 1.8261, utilization 0.7272, perplexity 9430.5712,
Train Epoch: [1/2] Iters:[1120/10009] transplant_loss 7.1176, rec_loss 0.0523, quant_error 1.8206, utilization 0.7273, perplexity 9424.7076,
Train Epoch: [1/2] Iters:[1130/10009] transplant_loss 7.1159, rec_loss 0.0525, quant_error 1.8201, utilization 0.7276, perplexity 9442.2534,
Train Epoch: [1/2] Iters:[1140/10009] transplant_loss 7.1178, rec_loss 0.0522, quant_error 1.8209, utilization 0.7280, perplexity 9448.9099,
Train Epoch: [1/2] Iters:[1150/10009] transplant_loss 7.0987, rec_loss 0.0521, quant_error 1.8151, utilization 0.7279, perplexity 9446.3293,
Train Epoch: [1/2] Iters:[1160/10009] transplant_loss 7.0887, rec_loss 0.0522, quant_error 1.8119, utilization 0.7279, perplexity 9437.8617,
Train Epoch: [1/2] Iters:[1170/10009] transplant_loss 7.0749, rec_loss 0.0518, quant_error 1.8085, utilization 0.7276, perplexity 9416.6121,
Train Epoch: [1/2] Iters:[1180/10009] transplant_loss 7.0625, rec_loss 0.0515, quant_error 1.8048, utilization 0.7281, perplexity 9416.0000,
Train Epoch: [1/2] Iters:[1190/10009] transplant_loss 7.0536, rec_loss 0.0520, quant_error 1.8012, utilization 0.7269, perplexity 9379.9642,
Train Epoch: [1/2] Iters:[1200/10009] transplant_loss 7.0424, rec_loss 0.0516, quant_error 1.7990, utilization 0.7267, perplexity 9349.1694,
Train Epoch: [1/2] Iters:[1210/10009] transplant_loss 7.0521, rec_loss 0.0521, quant_error 1.8030, utilization 0.7273, perplexity 9381.2698,
Train Epoch: [1/2] Iters:[1220/10009] transplant_loss 7.0556, rec_loss 0.0525, quant_error 1.8033, utilization 0.7275, perplexity 9381.7059,
Train Epoch: [1/2] Iters:[1230/10009] transplant_loss 7.0617, rec_loss 0.0523, quant_error 1.8052, utilization 0.7272, perplexity 9373.6725,
Train Epoch: [1/2] Iters:[1240/10009] transplant_loss 7.0644, rec_loss 0.0523, quant_error 1.8058, utilization 0.7283, perplexity 9409.5650,
Train Epoch: [1/2] Iters:[1250/10009] transplant_loss 7.0714, rec_loss 0.0526, quant_error 1.8073, utilization 0.7292, perplexity 9459.5176,
Train Epoch: [1/2] Iters:[1260/10009] transplant_loss 7.0626, rec_loss 0.0525, quant_error 1.8050, utilization 0.7295, perplexity 9445.0597,
Train Epoch: [1/2] Iters:[1270/10009] transplant_loss 7.0618, rec_loss 0.0525, quant_error 1.8048, utilization 0.7295, perplexity 9455.9355,
Train Epoch: [1/2] Iters:[1280/10009] transplant_loss 7.0567, rec_loss 0.0522, quant_error 1.8036, utilization 0.7297, perplexity 9454.8896,
Train Epoch: [1/2] Iters:[1290/10009] transplant_loss 7.0383, rec_loss 0.0515, quant_error 1.7991, utilization 0.7299, perplexity 9446.1924,
Train Epoch: [1/2] Iters:[1300/10009] transplant_loss 7.0489, rec_loss 0.0516, quant_error 1.8013, utilization 0.7305, perplexity 9461.0129,
Train Epoch: [1/2] Iters:[1310/10009] transplant_loss 7.0306, rec_loss 0.0511, quant_error 1.7973, utilization 0.7305, perplexity 9466.5519,
Train Epoch: [1/2] Iters:[1320/10009] transplant_loss 7.0291, rec_loss 0.0507, quant_error 1.7970, utilization 0.7317, perplexity 9487.0920,
Train Epoch: [1/2] Iters:[1330/10009] transplant_loss 7.0299, rec_loss 0.0509, quant_error 1.7969, utilization 0.7323, perplexity 9516.6941,
Train Epoch: [1/2] Iters:[1340/10009] transplant_loss 7.0453, rec_loss 0.0510, quant_error 1.8015, utilization 0.7325, perplexity 9518.9442,
Train Epoch: [1/2] Iters:[1350/10009] transplant_loss 7.0405, rec_loss 0.0508, quant_error 1.8010, utilization 0.7322, perplexity 9490.7916,
Train Epoch: [1/2] Iters:[1360/10009] transplant_loss 7.0249, rec_loss 0.0513, quant_error 1.7970, utilization 0.7322, perplexity 9475.9399,
Train Epoch: [1/2] Iters:[1370/10009] transplant_loss 7.0390, rec_loss 0.0513, quant_error 1.8011, utilization 0.7321, perplexity 9488.3520,
Train Epoch: [1/2] Iters:[1380/10009] transplant_loss 7.0365, rec_loss 0.0518, quant_error 1.8011, utilization 0.7319, perplexity 9477.8801,
Train Epoch: [1/2] Iters:[1390/10009] transplant_loss 7.0130, rec_loss 0.0514, quant_error 1.7942, utilization 0.7317, perplexity 9470.4248,
Train Epoch: [1/2] Iters:[1400/10009] transplant_loss 6.9953, rec_loss 0.0513, quant_error 1.7888, utilization 0.7319, perplexity 9483.6588,
Train Epoch: [1/2] Iters:[1410/10009] transplant_loss 7.0104, rec_loss 0.0515, quant_error 1.7911, utilization 0.7324, perplexity 9516.3989,
Train Epoch: [1/2] Iters:[1420/10009] transplant_loss 7.0030, rec_loss 0.0521, quant_error 1.7883, utilization 0.7322, perplexity 9492.0686,
Train Epoch: [1/2] Iters:[1430/10009] transplant_loss 6.9923, rec_loss 0.0516, quant_error 1.7844, utilization 0.7321, perplexity 9468.1909,
Train Epoch: [1/2] Iters:[1440/10009] transplant_loss 7.0069, rec_loss 0.0521, quant_error 1.7885, utilization 0.7324, perplexity 9486.7183,
Train Epoch: [1/2] Iters:[1450/10009] transplant_loss 7.0130, rec_loss 0.0525, quant_error 1.7899, utilization 0.7327, perplexity 9487.2145,
Train Epoch: [1/2] Iters:[1460/10009] transplant_loss 7.0239, rec_loss 0.0526, quant_error 1.7941, utilization 0.7330, perplexity 9497.5025,
Train Epoch: [1/2] Iters:[1470/10009] transplant_loss 7.0169, rec_loss 0.0522, quant_error 1.7929, utilization 0.7331, perplexity 9506.4139,
Train Epoch: [1/2] Iters:[1480/10009] transplant_loss 7.0166, rec_loss 0.0527, quant_error 1.7943, utilization 0.7334, perplexity 9527.7473,
Train Epoch: [1/2] Iters:[1490/10009] transplant_loss 7.0070, rec_loss 0.0526, quant_error 1.7923, utilization 0.7332, perplexity 9530.5858,
Train Epoch: [1/2] Iters:[1500/10009] transplant_loss 7.0133, rec_loss 0.0528, quant_error 1.7946, utilization 0.7338, perplexity 9531.9491,
Train Epoch: [1/2] Iters:[1510/10009] transplant_loss 7.0054, rec_loss 0.0529, quant_error 1.7933, utilization 0.7336, perplexity 9516.0829,
Train Epoch: [1/2] Iters:[1520/10009] transplant_loss 7.0058, rec_loss 0.0533, quant_error 1.7928, utilization 0.7341, perplexity 9524.9066,
Train Epoch: [1/2] Iters:[1530/10009] transplant_loss 7.0169, rec_loss 0.0534, quant_error 1.7951, utilization 0.7345, perplexity 9533.2321,
Train Epoch: [1/2] Iters:[1540/10009] transplant_loss 7.0285, rec_loss 0.0532, quant_error 1.7973, utilization 0.7348, perplexity 9526.1627,
Train Epoch: [1/2] Iters:[1550/10009] transplant_loss 7.0114, rec_loss 0.0530, quant_error 1.7921, utilization 0.7343, perplexity 9528.2179,
Train Epoch: [1/2] Iters:[1560/10009] transplant_loss 7.0123, rec_loss 0.0525, quant_error 1.7908, utilization 0.7346, perplexity 9535.6898,
Train Epoch: [1/2] Iters:[1570/10009] transplant_loss 6.9967, rec_loss 0.0519, quant_error 1.7870, utilization 0.7343, perplexity 9526.9937,
Train Epoch: [1/2] Iters:[1580/10009] transplant_loss 6.9881, rec_loss 0.0516, quant_error 1.7862, utilization 0.7346, perplexity 9529.1347,
Train Epoch: [1/2] Iters:[1590/10009] transplant_loss 6.9693, rec_loss 0.0514, quant_error 1.7821, utilization 0.7349, perplexity 9531.7219,
