Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.3412, rec_loss 0.0346, lpips_loss 0.3066, g_loss 0.2117, disc_weight 0.0000, disc_adaptive_weight 3.3304, d_loss 0.0000, logits_real -0.2116, logits_fake -0.2113,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.3420, rec_loss 0.0345, lpips_loss 0.3075, g_loss 0.2101, disc_weight 0.0000, disc_adaptive_weight 3.4684, d_loss 0.0000, logits_real -0.2094, logits_fake -0.2104,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.3400, rec_loss 0.0346, lpips_loss 0.3054, g_loss 0.2095, disc_weight 0.0000, disc_adaptive_weight 3.8597, d_loss 0.0000, logits_real -0.2076, logits_fake -0.2093,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.3416, rec_loss 0.0347, lpips_loss 0.3069, g_loss 0.2079, disc_weight 0.0000, disc_adaptive_weight 3.6792, d_loss 0.0000, logits_real -0.2061, logits_fake -0.2082,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.3416, rec_loss 0.0348, lpips_loss 0.3068, g_loss 0.2088, disc_weight 0.0000, disc_adaptive_weight 3.5402, d_loss 0.0000, logits_real -0.2060, logits_fake -0.2081,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.3384, rec_loss 0.0342, lpips_loss 0.3043, g_loss 0.2094, disc_weight 0.0000, disc_adaptive_weight 3.5240, d_loss 0.0000, logits_real -0.2070, logits_fake -0.2092,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.3376, rec_loss 0.0343, lpips_loss 0.3033, g_loss 0.2105, disc_weight 0.0000, disc_adaptive_weight 3.4463, d_loss 0.0000, logits_real -0.2097, logits_fake -0.2100,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.3378, rec_loss 0.0343, lpips_loss 0.3035, g_loss 0.2124, disc_weight 0.0000, disc_adaptive_weight 3.0317, d_loss 0.0000, logits_real -0.2106, logits_fake -0.2128,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.3348, rec_loss 0.0344, lpips_loss 0.3004, g_loss 0.2133, disc_weight 0.0000, disc_adaptive_weight 3.1231, d_loss 0.0000, logits_real -0.2112, logits_fake -0.2130,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.3337, rec_loss 0.0345, lpips_loss 0.2992, g_loss 0.2125, disc_weight 0.0000, disc_adaptive_weight 3.1290, d_loss 0.0000, logits_real -0.2101, logits_fake -0.2129,
