Train Epoch: [1/2] Iters:[630/10009] transplant_loss 3.7941, rec_loss 0.0474, quant_error 1.3060, utilization 0.9994, perplexity 2692.5558,
Train Epoch: [1/2] Iters:[640/10009] transplant_loss 3.8009, rec_loss 0.0478, quant_error 1.3069, utilization 0.9994, perplexity 2694.5088,
Train Epoch: [1/2] Iters:[650/10009] transplant_loss 3.8041, rec_loss 0.0478, quant_error 1.3105, utilization 0.9993, perplexity 2691.0263,
Train Epoch: [1/2] Iters:[660/10009] transplant_loss 3.8193, rec_loss 0.0484, quant_error 1.3164, utilization 0.9993, perplexity 2698.4585,
Train Epoch: [1/2] Iters:[670/10009] transplant_loss 3.8136, rec_loss 0.0475, quant_error 1.3172, utilization 0.9993, perplexity 2693.7890,
Train Epoch: [1/2] Iters:[680/10009] transplant_loss 3.8030, rec_loss 0.0471, quant_error 1.3136, utilization 0.9993, perplexity 2693.9662,
Train Epoch: [1/2] Iters:[690/10009] transplant_loss 3.8044, rec_loss 0.0473, quant_error 1.3136, utilization 0.9993, perplexity 2691.3061,
Train Epoch: [1/2] Iters:[700/10009] transplant_loss 3.8076, rec_loss 0.0474, quant_error 1.3172, utilization 0.9993, perplexity 2695.3493,
Train Epoch: [1/2] Iters:[710/10009] transplant_loss 3.8001, rec_loss 0.0470, quant_error 1.3134, utilization 0.9994, perplexity 2694.3384,
Train Epoch: [1/2] Iters:[720/10009] transplant_loss 3.8008, rec_loss 0.0472, quant_error 1.3151, utilization 0.9994, perplexity 2694.5065,
Train Epoch: [1/2] Iters:[730/10009] transplant_loss 3.8109, rec_loss 0.0470, quant_error 1.3165, utilization 0.9994, perplexity 2699.0565,
Train Epoch: [1/2] Iters:[740/10009] transplant_loss 3.8055, rec_loss 0.0468, quant_error 1.3136, utilization 0.9994, perplexity 2698.1876,
Train Epoch: [1/2] Iters:[750/10009] transplant_loss 3.7975, rec_loss 0.0464, quant_error 1.3123, utilization 0.9994, perplexity 2694.0335,
Train Epoch: [1/2] Iters:[760/10009] transplant_loss 3.7914, rec_loss 0.0470, quant_error 1.3118, utilization 0.9994, perplexity 2690.6734,
Train Epoch: [1/2] Iters:[770/10009] transplant_loss 3.7936, rec_loss 0.0475, quant_error 1.3090, utilization 0.9993, perplexity 2693.1566,
Train Epoch: [1/2] Iters:[780/10009] transplant_loss 3.7847, rec_loss 0.0478, quant_error 1.3070, utilization 0.9993, perplexity 2694.2207,
Train Epoch: [1/2] Iters:[790/10009] transplant_loss 3.7786, rec_loss 0.0475, quant_error 1.3015, utilization 0.9993, perplexity 2696.0591,
Train Epoch: [1/2] Iters:[800/10009] transplant_loss 3.7760, rec_loss 0.0476, quant_error 1.2935, utilization 0.9993, perplexity 2699.1988,
Train Epoch: [1/2] Iters:[810/10009] transplant_loss 3.7723, rec_loss 0.0476, quant_error 1.2932, utilization 0.9993, perplexity 2697.3423,
Train Epoch: [1/2] Iters:[820/10009] transplant_loss 3.7683, rec_loss 0.0471, quant_error 1.2894, utilization 0.9993, perplexity 2700.1259,
Train Epoch: [1/2] Iters:[830/10009] transplant_loss 3.7706, rec_loss 0.0471, quant_error 1.2925, utilization 0.9993, perplexity 2696.2600,
Train Epoch: [1/2] Iters:[840/10009] transplant_loss 3.7770, rec_loss 0.0474, quant_error 1.2967, utilization 0.9993, perplexity 2694.3442,
Train Epoch: [1/2] Iters:[850/10009] transplant_loss 3.7788, rec_loss 0.0472, quant_error 1.2988, utilization 0.9993, perplexity 2695.6696,
Train Epoch: [1/2] Iters:[860/10009] transplant_loss 3.7695, rec_loss 0.0463, quant_error 1.2918, utilization 0.9993, perplexity 2700.2052,
Train Epoch: [1/2] Iters:[870/10009] transplant_loss 3.7744, rec_loss 0.0467, quant_error 1.2952, utilization 0.9993, perplexity 2700.3665,
Train Epoch: [1/2] Iters:[880/10009] transplant_loss 3.7740, rec_loss 0.0466, quant_error 1.2914, utilization 0.9993, perplexity 2702.1903,
Train Epoch: [1/2] Iters:[890/10009] transplant_loss 3.7715, rec_loss 0.0465, quant_error 1.2913, utilization 0.9993, perplexity 2707.6080,
Train Epoch: [1/2] Iters:[900/10009] transplant_loss 3.7707, rec_loss 0.0464, quant_error 1.2915, utilization 0.9993, perplexity 2708.3110,
Train Epoch: [1/2] Iters:[910/10009] transplant_loss 3.7794, rec_loss 0.0467, quant_error 1.2948, utilization 0.9992, perplexity 2706.3744,
Train Epoch: [1/2] Iters:[920/10009] transplant_loss 3.7785, rec_loss 0.0469, quant_error 1.2944, utilization 0.9993, perplexity 2708.3402,
Train Epoch: [1/2] Iters:[930/10009] transplant_loss 3.7768, rec_loss 0.0468, quant_error 1.2920, utilization 0.9993, perplexity 2706.1583,
Train Epoch: [1/2] Iters:[940/10009] transplant_loss 3.7768, rec_loss 0.0471, quant_error 1.2890, utilization 0.9993, perplexity 2706.2842,
Train Epoch: [1/2] Iters:[950/10009] transplant_loss 3.7632, rec_loss 0.0472, quant_error 1.2853, utilization 0.9993, perplexity 2702.5760,
