dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 8
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8
max_patch_size: 8
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.5
disc_weight: 0.2
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 5
refinement_epochs: 5
eval_epochs: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: transplant
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/Transplant/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/results/Transplant/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/saver/Transplant/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/reconstruction/Transplant/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/yaml/Transplant/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant/pretrained_tokenizer/dc-ae-f32c32-sana-1.0.safetensors
checkpoint_name: 
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 1
batch_size: 64
ms_token_size: (1, 2, 3, 4, 5, 6, 8)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.5_0.2
training_pre: wasserstein_vq_transplant_False
saver_name_pre: wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.5_0.2
| distributed init (rank 0): env://
VQ Model Parameters: 312250275
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000100
Train Epoch: [1/5] Iters:[1120/20018] transplant_loss 6.5116, rec_loss 0.0534, quant_error 0.4703,
Train Epoch: [1/5] Iters:[1130/20018] transplant_loss 6.5305, rec_loss 0.0524, quant_error 0.4713,
Train Epoch: [1/5] Iters:[1140/20018] transplant_loss 6.5240, rec_loss 0.0523, quant_error 0.4708,
Train Epoch: [1/5] Iters:[1150/20018] transplant_loss 6.5355, rec_loss 0.0524, quant_error 0.4709,
Train Epoch: [1/5] Iters:[1160/20018] transplant_loss 6.5644, rec_loss 0.0534, quant_error 0.4719,
Train Epoch: [1/5] Iters:[1170/20018] transplant_loss 6.5613, rec_loss 0.0529, quant_error 0.4712,
Train Epoch: [1/5] Iters:[1180/20018] transplant_loss 6.5563, rec_loss 0.0532, quant_error 0.4700,
Train Epoch: [1/5] Iters:[1190/20018] transplant_loss 6.5395, rec_loss 0.0532, quant_error 0.4692,
Train Epoch: [1/5] Iters:[1200/20018] transplant_loss 6.5140, rec_loss 0.0534, quant_error 0.4674,
Train Epoch: [1/5] Iters:[1210/20018] transplant_loss 6.4793, rec_loss 0.0526, quant_error 0.4654,
Train Epoch: [1/5] Iters:[1220/20018] transplant_loss 6.4800, rec_loss 0.0525, quant_error 0.4648,
Train Epoch: [1/5] Iters:[1230/20018] transplant_loss 6.4509, rec_loss 0.0530, quant_error 0.4632,
Train Epoch: [1/5] Iters:[1240/20018] transplant_loss 6.4772, rec_loss 0.0530, quant_error 0.4645,
Train Epoch: [1/5] Iters:[1250/20018] transplant_loss 6.4898, rec_loss 0.0525, quant_error 0.4653,
Train Epoch: [1/5] Iters:[1260/20018] transplant_loss 6.4978, rec_loss 0.0531, quant_error 0.4656,
Train Epoch: [1/5] Iters:[1270/20018] transplant_loss 6.4984, rec_loss 0.0529, quant_error 0.4652,
Train Epoch: [1/5] Iters:[1280/20018] transplant_loss 6.5062, rec_loss 0.0531, quant_error 0.4651,
Train Epoch: [1/5] Iters:[1290/20018] transplant_loss 6.4693, rec_loss 0.0532, quant_error 0.4621,
Train Epoch: [1/5] Iters:[1300/20018] transplant_loss 6.4620, rec_loss 0.0532, quant_error 0.4614,
Train Epoch: [1/5] Iters:[1310/20018] transplant_loss 6.4356, rec_loss 0.0532, quant_error 0.4594,
Train Epoch: [1/5] Iters:[1320/20018] transplant_loss 6.4458, rec_loss 0.0538, quant_error 0.4600,
Train Epoch: [1/5] Iters:[1330/20018] transplant_loss 6.4424, rec_loss 0.0528, quant_error 0.4591,
Train Epoch: [1/5] Iters:[1340/20018] transplant_loss 6.4513, rec_loss 0.0527, quant_error 0.4596,
Train Epoch: [1/5] Iters:[1350/20018] transplant_loss 6.4692, rec_loss 0.0526, quant_error 0.4600,
Train Epoch: [1/5] Iters:[1360/20018] transplant_loss 6.4476, rec_loss 0.0518, quant_error 0.4579,
Train Epoch: [1/5] Iters:[1370/20018] transplant_loss 6.4370, rec_loss 0.0519, quant_error 0.4574,
Train Epoch: [1/5] Iters:[1380/20018] transplant_loss 6.4407, rec_loss 0.0518, quant_error 0.4578,
Train Epoch: [1/5] Iters:[1390/20018] transplant_loss 6.4418, rec_loss 0.0515, quant_error 0.4575,
Train Epoch: [1/5] Iters:[1400/20018] transplant_loss 6.4253, rec_loss 0.0522, quant_error 0.4563,
Train Epoch: [1/5] Iters:[1410/20018] transplant_loss 6.4591, rec_loss 0.0523, quant_error 0.4585,
Train Epoch: [1/5] Iters:[1420/20018] transplant_loss 6.4269, rec_loss 0.0515, quant_error 0.4558,
Train Epoch: [1/5] Iters:[1430/20018] transplant_loss 6.4114, rec_loss 0.0515, quant_error 0.4544,
Train Epoch: [1/5] Iters:[1440/20018] transplant_loss 6.4101, rec_loss 0.0514, quant_error 0.4541,
Train Epoch: [1/5] Iters:[1450/20018] transplant_loss 6.3997, rec_loss 0.0505, quant_error 0.4534,
Train Epoch: [1/5] Iters:[1460/20018] transplant_loss 6.3789, rec_loss 0.0500, quant_error 0.4519,
Train Epoch: [1/5] Iters:[1470/20018] transplant_loss 6.4045, rec_loss 0.0509, quant_error 0.4532,
Train Epoch: [1/5] Iters:[1480/20018] transplant_loss 6.3991, rec_loss 0.0513, quant_error 0.4524,
Train Epoch: [1/5] Iters:[1490/20018] transplant_loss 6.3914, rec_loss 0.0512, quant_error 0.4519,
Train Epoch: [1/5] Iters:[1500/20018] transplant_loss 6.3953, rec_loss 0.0518, quant_error 0.4517,
Train Epoch: [1/5] Iters:[1510/20018] transplant_loss 6.3964, rec_loss 0.0526, quant_error 0.4515,
Train Epoch: [1/5] Iters:[1520/20018] transplant_loss 6.3778, rec_loss 0.0520, quant_error 0.4500,
Train Epoch: [1/5] Iters:[1530/20018] transplant_loss 6.3801, rec_loss 0.0520, quant_error 0.4502,
Train Epoch: [1/5] Iters:[1540/20018] transplant_loss 6.3693, rec_loss 0.0524, quant_error 0.4490,
Train Epoch: [1/5] Iters:[1550/20018] transplant_loss 6.3572, rec_loss 0.0524, quant_error 0.4483,
Train Epoch: [1/5] Iters:[1560/20018] transplant_loss 6.3422, rec_loss 0.0519, quant_error 0.4476,
Train Epoch: [1/5] Iters:[1570/20018] transplant_loss 6.3263, rec_loss 0.0518, quant_error 0.4467,
Train Epoch: [1/5] Iters:[1580/20018] transplant_loss 6.3118, rec_loss 0.0515, quant_error 0.4458,
Train Epoch: [1/5] Iters:[1590/20018] transplant_loss 6.3031, rec_loss 0.0515, quant_error 0.4454,
Train Epoch: [1/5] Iters:[1600/20018] transplant_loss 6.2855, rec_loss 0.0517, quant_error 0.4441,
Train Epoch: [1/5] Iters:[1610/20018] transplant_loss 6.2866, rec_loss 0.0519, quant_error 0.4433,
Train Epoch: [1/5] Iters:[1620/20018] transplant_loss 6.3096, rec_loss 0.0524, quant_error 0.4442,
Train Epoch: [1/5] Iters:[1630/20018] transplant_loss 6.3017, rec_loss 0.0526, quant_error 0.4435,
