Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.1479, rec_loss 0.0310, lpips_loss 0.1964, g_loss -0.0437, disc_weight 0.5000, disc_adaptive_weight 1.8114, d_loss 0.6959, logits_real 0.0442, logits_fake 0.0433,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.1504, rec_loss 0.0308, lpips_loss 0.1951, g_loss -0.0430, disc_weight 0.5000, disc_adaptive_weight 1.7480, d_loss 0.6893, logits_real 0.0437, logits_fake 0.0428,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.1466, rec_loss 0.0299, lpips_loss 0.1931, g_loss -0.0429, disc_weight 0.5000, disc_adaptive_weight 1.7784, d_loss 0.6820, logits_real 0.0433, logits_fake 0.0427,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.1481, rec_loss 0.0305, lpips_loss 0.1931, g_loss -0.0423, disc_weight 0.5000, disc_adaptive_weight 1.7894, d_loss 0.6772, logits_real 0.0426, logits_fake 0.0422,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.1433, rec_loss 0.0305, lpips_loss 0.1938, g_loss -0.0413, disc_weight 0.5000, disc_adaptive_weight 1.9812, d_loss 0.6719, logits_real 0.0416, logits_fake 0.0413,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.1427, rec_loss 0.0310, lpips_loss 0.1949, g_loss -0.0404, disc_weight 0.5000, disc_adaptive_weight 2.0727, d_loss 0.6674, logits_real 0.0409, logits_fake 0.0407,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.1409, rec_loss 0.0315, lpips_loss 0.1960, g_loss -0.0395, disc_weight 0.5000, disc_adaptive_weight 2.2122, d_loss 0.6628, logits_real 0.0402, logits_fake 0.0396,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.1386, rec_loss 0.0311, lpips_loss 0.1948, g_loss -0.0384, disc_weight 0.5000, disc_adaptive_weight 2.2728, d_loss 0.6583, logits_real 0.0394, logits_fake 0.0382,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1357, rec_loss 0.0303, lpips_loss 0.1945, g_loss -0.0373, disc_weight 0.5000, disc_adaptive_weight 2.3862, d_loss 0.6527, logits_real 0.0384, logits_fake 0.0372,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1395, rec_loss 0.0304, lpips_loss 0.1935, g_loss -0.0364, disc_weight 0.5000, disc_adaptive_weight 2.3048, d_loss 0.6490, logits_real 0.0377, logits_fake 0.0363,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1400, rec_loss 0.0293, lpips_loss 0.1913, g_loss -0.0355, disc_weight 0.5000, disc_adaptive_weight 2.2647, d_loss 0.6440, logits_real 0.0371, logits_fake 0.0352,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1426, rec_loss 0.0295, lpips_loss 0.1903, g_loss -0.0346, disc_weight 0.5000, disc_adaptive_weight 2.2240, d_loss 0.6395, logits_real 0.0361, logits_fake 0.0344,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1460, rec_loss 0.0298, lpips_loss 0.1913, g_loss -0.0336, disc_weight 0.5000, disc_adaptive_weight 2.2260, d_loss 0.6361, logits_real 0.0353, logits_fake 0.0335,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1412, rec_loss 0.0294, lpips_loss 0.1887, g_loss -0.0331, disc_weight 0.5000, disc_adaptive_weight 2.3256, d_loss 0.6322, logits_real 0.0347, logits_fake 0.0327,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.1437, rec_loss 0.0290, lpips_loss 0.1879, g_loss -0.0321, disc_weight 0.5000, disc_adaptive_weight 2.2879, d_loss 0.6282, logits_real 0.0341, logits_fake 0.0320,
